         z	         T	         p	         u	       rho	        H2	         H	         O	        O2	        OH	       H2O	       HO2	      H2O2	         C	        CH	       CH2	    CH2(S)	       CH3	       CH4	        CO	       CO2	       HCO	      CH2O	     CH2OH	      CH3O	     CH3OH	       C2H	      C2H2	      C2H3	      C2H4	      C2H5	      C2H6	      HCCO	     CH2CO	     HCCOH	         N	        NH	       NH2	       NH3	       NNH	        NO	       NO2	       N2O	       HNO	        CN	       HCN	      H2CN	      HCNN	      HCNO	      HOCN	      HNCO	       NCO	        N2	        AR	      C3H7	      C3H8	    CH2CHO	    CH3CHO	
8.6236e-03	1.0732e+03	1.0000e+05	1.0007e-01	3.0254e-01	8.8267e-04	2.0452e-05	1.2860e-06	6.5126e-04	4.3641e-05	4.9874e-01	1.0382e-09	3.1623e-12	2.7724e-17	2.6126e-16	2.0572e-13	1.6422e-15	1.1738e-10	8.1527e-10	4.3274e-04	2.4940e-01	1.1012e-13	3.7175e-11	1.9042e-15	1.7196e-18	1.3501e-14	1.2617e-19	1.1964e-13	-1.8051e-18	-3.9972e-15	-2.0390e-19	-8.9615e-20	-5.8923e-11	-1.4271e-10	6.8518e-17	5.6776e-17	2.9448e-16	1.1007e-14	4.5348e-13	3.7005e-18	8.5213e-09	4.1308e-13	5.6112e-14	1.8220e-15	1.1768e-16	1.9880e-11	2.0515e-22	7.1425e-23	-6.5789e-14	9.4588e-15	-1.4322e-14	8.0776e-16	2.4983e-01	0.0000e+00	-9.9468e-32	-1.8765e-28	-2.9109e-19	-3.3686e-20	
8.6594e-03	1.0732e+03	1.0000e+05	1.0007e-01	3.0254e-01	8.8034e-04	2.0346e-05	1.2791e-06	6.4950e-04	4.3529e-05	4.9875e-01	1.0301e-09	3.1461e-12	-6.1504e-17	-4.3084e-16	-3.8009e-13	-2.8576e-15	1.1870e-10	6.5440e-10	4.3153e-04	2.4940e-01	1.7352e-13	5.7564e-11	1.1816e-15	1.3859e-18	1.5586e-14	8.0458e-20	7.6543e-14	1.8358e-19	-3.0725e-15	3.3075e-19	-3.7873e-19	-1.0368e-10	-7.2673e-11	1.0264e-16	4.5730e-17	2.8792e-16	1.0639e-14	4.3668e-13	3.6814e-18	8.5213e-09	4.1163e-13	5.5968e-14	1.8126e-15	1.1714e-16	1.9838e-11	2.0056e-22	-1.1846e-22	-4.4600e-14	9.4630e-15	-1.1555e-15	8.1983e-16	2.4983e-01	0.0000e+00	5.2700e-31	1.1311e-28	-1.4138e-19	-6.2268e-20	
8.6952e-03	1.0732e+03	1.0000e+05	1.0007e-01	3.0254e-01	8.7804e-04	2.0242e-05	1.2723e-06	6.4775e-04	4.3419e-05	4.9875e-01	1.0220e-09	3.1300e-12	6.2891e-18	9.6711e-17	1.0676e-13	8.4261e-16	7.7379e-11	5.2906e-10	4.3032e-04	2.4940e-01	1.1756e-13	3.9592e-11	1.2236e-15	1.1782e-18	1.3912e-14	7.9710e-20	7.6059e-14	-5.5667e-19	-2.3124e-15	1.6010e-19	-2.1425e-19	-3.6422e-11	-5.4846e-11	9.4455e-17	5.3834e-17	2.8230e-16	1.0305e-14	4.2150e-13	3.6625e-18	8.5214e-09	4.1019e-13	5.5824e-14	1.8033e-15	1.1661e-16	1.9796e-11	1.9893e-22	2.6418e-23	-3.1388e-14	9.4676e-15	1.6889e-14	8.3885e-16	2.4983e-01	0.0000e+00	-3.4189e-32	-6.0528e-29	-1.0819e-19	-4.2747e-20	
8.7648e-03	1.0732e+03	1.0000e+05	1.0007e-01	3.0255e-01	8.7359e-04	2.0041e-05	1.2592e-06	6.4438e-04	4.3206e-05	4.9876e-01	1.0066e-09	3.0992e-12	2.4612e-18	5.8824e-17	1.3878e-13	1.0342e-15	3.0912e-11	3.7845e-10	4.2801e-04	2.4940e-01	5.5102e-14	1.7262e-11	6.2553e-16	5.9194e-19	8.8178e-15	8.2331e-20	8.0192e-14	-3.6787e-20	-1.3551e-15	1.9392e-19	1.2654e-19	9.6254e-13	-6.5284e-11	5.7718e-17	5.5515e-17	2.7473e-16	9.7972e-15	3.9656e-13	3.6262e-18	8.5215e-09	4.0741e-13	5.5549e-14	1.7854e-15	1.1560e-16	1.9717e-11	1.9412e-22	1.6190e-23	-2.0191e-14	9.4773e-15	6.4015e-14	8.9227e-16	2.4983e-01	0.0000e+00	1.0776e-31	1.1288e-29	-1.2679e-19	1.0665e-20	
8.8345e-03	1.0732e+03	1.0000e+05	1.0007e-01	3.0255e-01	8.6921e-04	1.9844e-05	1.2464e-06	6.4106e-04	4.2996e-05	4.9876e-01	9.9162e-10	3.0690e-12	1.4885e-17	1.3549e-16	1.4627e-13	1.1166e-15	2.2206e-11	2.5470e-10	4.2573e-04	2.4941e-01	2.3589e-14	7.3854e-12	5.0778e-16	4.3788e-19	4.9949e-15	9.1812e-20	8.9159e-14	-2.6351e-19	-5.8241e-16	5.6221e-20	2.1871e-19	1.6783e-12	-3.9580e-11	6.1873e-17	5.4812e-17	2.6899e-16	9.4215e-15	3.7737e-13	3.5906e-18	8.5215e-09	4.0466e-13	5.5277e-14	1.7679e-15	1.1462e-16	1.9638e-11	1.9217e-22	3.7170e-23	-1.1505e-14	9.4871e-15	1.0795e-13	9.4083e-16	2.4983e-01	0.0000e+00	-1.7212e-32	-6.1115e-29	-7.0827e-20	2.3381e-20	
8.9041e-03	1.0732e+03	1.0000e+05	1.0007e-01	3.0255e-01	8.6490e-04	1.9651e-05	1.2338e-06	6.3779e-04	4.2789e-05	4.9877e-01	9.7698e-10	3.0393e-12	1.2017e-17	1.1414e-16	1.2415e-13	9.4830e-16	2.0134e-11	1.6598e-10	4.2349e-04	2.4941e-01	2.0300e-14	6.7375e-12	4.3305e-16	3.5920e-19	3.5391e-15	7.8397e-20	7.6946e-14	-1.0599e-20	-3.9200e-16	-3.9380e-20	2.9539e-20	-9.6972e-13	-1.7580e-11	6.9550e-17	5.3438e-17	2.6496e-16	9.1584e-15	3.6321e-13	3.5557e-18	8.5216e-09	4.0195e-13	5.5010e-14	1.7507e-15	1.1364e-16	1.9561e-11	1.8971e-22	3.1320e-23	-5.8810e-15	9.4969e-15	1.4892e-13	9.8567e-16	2.4983e-01	0.0000e+00	4.2680e-32	6.2408e-29	-3.6046e-20	1.6230e-21	
9.0367e-03	1.0732e+03	1.0000e+05	1.0007e-01	3.0255e-01	8.5685e-04	1.9294e-05	1.2105e-06	6.3169e-04	4.2403e-05	4.9878e-01	9.5003e-10	2.9843e-12	5.4802e-18	5.1041e-17	5.7840e-14	4.4054e-16	9.2350e-12	6.3062e-11	4.1930e-04	2.4941e-01	1.0748e-14	3.7101e-12	1.9787e-16	1.6521e-19	1.8710e-15	6.0552e-20	5.9547e-14	-5.1914e-21	-8.6005e-17	-6.0560e-21	-1.7659e-20	-9.9940e-14	-9.9469e-13	6.3089e-17	5.1562e-17	2.6027e-16	8.8863e-15	3.4692e-13	3.4911e-18	8.5218e-09	3.9689e-13	5.4512e-14	1.7189e-15	1.1184e-16	1.9418e-11	1.8450e-22	1.4004e-23	-7.6857e-17	9.5154e-15	2.1935e-13	1.0602e-15	2.4983e-01	0.0000e+00	3.2651e-32	3.2209e-29	1.1585e-21	-1.5296e-21	
9.1693e-03	1.0732e+03	1.0000e+05	1.0007e-01	3.0255e-01	8.4902e-04	1.8949e-05	1.1881e-06	6.2576e-04	4.2027e-05	4.9879e-01	9.2433e-10	2.9313e-12	4.8654e-18	4.4285e-17	4.3181e-14	3.3025e-16	5.9148e-12	3.6250e-11	4.1524e-04	2.4942e-01	1.0141e-14	2.9175e-12	1.4811e-16	1.3422e-19	1.7895e-15	5.0226e-20	5.0309e-14	-8.9073e-20	-3.5091e-17	4.1287e-20	6.4777e-20	9.4662e-13	8.8808e-12	5.6253e-17	5.0879e-17	2.6001e-16	8.9280e-15	3.4490e-13	3.4287e-18	8.5219e-09	3.9195e-13	5.4027e-14	1.6882e-15	1.1010e-16	1.9277e-11	1.7973e-22	1.2150e-23	5.9643e-16	9.5336e-15	2.7840e-13	1.1195e-15	2.4984e-01	0.0000e+00	-1.2403e-31	-1.6301e-28	1.9708e-20	6.5290e-21	
9.3019e-03	1.0732e+03	1.0000e+05	1.0007e-01	3.0255e-01	8.4139e-04	1.8616e-05	1.1664e-06	6.1999e-04	4.1661e-05	4.9880e-01	8.9968e-10	2.8800e-12	-5.1339e-19	-3.0102e-18	9.9406e-15	7.1608e-17	1.5810e-12	2.7179e-12	4.1128e-04	2.4943e-01	6.8793e-16	4.9914e-13	2.2602e-17	1.4884e-20	5.9544e-16	4.2288e-20	4.2760e-14	1.1200e-19	1.0146e-16	-2.9136e-20	3.2715e-20	1.4509e-13	8.2346e-12	4.7321e-17	4.9877e-17	2.5979e-16	9.0547e-15	3.4850e-13	3.3685e-18	8.5220e-09	3.8714e-13	5.3555e-14	1.6586e-15	1.0841e-16	1.9140e-11	1.7525e-22	-8.1765e-25	3.0857e-15	9.5513e-15	3.2648e-13	1.1642e-15	2.4984e-01	0.0000e+00	5.3761e-32	-6.8171e-29	1.2319e-20	7.4762e-22	
9.4345e-03	1.0732e+03	1.0000e+05	1.0006e-01	3.0256e-01	8.3396e-04	1.8294e-05	1.1455e-06	6.1437e-04	4.1304e-05	4.9881e-01	8.7613e-10	2.8305e-12	1.3761e-18	1.0667e-17	7.4295e-16	9.1597e-18	-3.3482e-13	-5.6768e-12	4.0743e-04	2.4943e-01	4.0218e-16	-2.8157e-13	3.5189e-18	6.4657e-21	-1.8692e-16	3.4290e-20	3.4543e-14	1.7185e-20	2.0413e-16	1.5139e-20	1.4477e-20	-1.2089e-13	5.0559e-13	3.7944e-17	4.9811e-17	2.6215e-16	9.3274e-15	3.5833e-13	3.3103e-18	8.5222e-09	3.8243e-13	5.3096e-14	1.6300e-15	1.0677e-16	1.9006e-11	1.7097e-22	2.9165e-24	2.2783e-15	9.5687e-15	3.6795e-13	1.2002e-15	2.4984e-01	0.0000e+00	1.2602e-32	1.1218e-28	2.1010e-21	1.0466e-20	
