         z	         T	         p	         u	       rho	        H2	        O2	       H2O	         H	         O	        OH	       HO2	      H2O2	        N2	
2.5080e-05	1.0732e+03	1.0000e+05	8.7616e-02	2.8794e-01	1.0346e-03	1.4281e-01	2.8372e-01	4.3285e-04	5.8890e-04	7.3357e-04	4.5988e-06	1.9209e-08	5.7068e-01	
2.5552e-05	1.0732e+03	1.0000e+05	8.7612e-02	2.8795e-01	9.9972e-04	1.4281e-01	2.8378e-01	4.1756e-04	5.7500e-04	7.2497e-04	4.4418e-06	1.8114e-08	5.7070e-01	
2.6023e-05	1.0732e+03	1.0000e+05	8.7609e-02	2.8797e-01	9.6690e-04	1.4280e-01	2.8383e-01	4.0313e-04	5.6171e-04	7.1665e-04	4.2933e-06	1.7103e-08	5.7072e-01	
2.6495e-05	1.0732e+03	1.0000e+05	8.7606e-02	2.8797e-01	9.3602e-04	1.4279e-01	2.8388e-01	3.8952e-04	5.4901e-04	7.0860e-04	4.1529e-06	1.6167e-08	5.7074e-01	
2.6966e-05	1.0732e+03	1.0000e+05	8.7603e-02	2.8798e-01	9.0692e-04	1.4279e-01	2.8393e-01	3.7664e-04	5.3686e-04	7.0081e-04	4.0198e-06	1.5300e-08	5.7076e-01	
2.7438e-05	1.0732e+03	1.0000e+05	8.7601e-02	2.8799e-01	8.7946e-04	1.4279e-01	2.8398e-01	3.6443e-04	5.2521e-04	6.9330e-04	3.8934e-06	1.4496e-08	5.7077e-01	
2.7909e-05	1.0732e+03	1.0000e+05	8.7598e-02	2.8800e-01	8.5352e-04	1.4278e-01	2.8402e-01	3.5286e-04	5.1405e-04	6.8601e-04	3.7734e-06	1.3750e-08	5.7079e-01	
2.8380e-05	1.0732e+03	1.0000e+05	8.7596e-02	2.8801e-01	8.2898e-04	1.4278e-01	2.8406e-01	3.4190e-04	5.0334e-04	6.7894e-04	3.6595e-06	1.3055e-08	5.7080e-01	
2.8852e-05	1.0732e+03	1.0000e+05	8.7593e-02	2.8802e-01	8.0573e-04	1.4277e-01	2.8410e-01	3.3147e-04	4.9306e-04	6.7209e-04	3.5510e-06	1.2408e-08	5.7082e-01	
2.9323e-05	1.0732e+03	1.0000e+05	8.7591e-02	2.8802e-01	7.8368e-04	1.4277e-01	2.8414e-01	3.2156e-04	4.8318e-04	6.6545e-04	3.4476e-06	1.1805e-08	5.7083e-01	
2.9795e-05	1.0732e+03	1.0000e+05	8.7589e-02	2.8803e-01	7.6275e-04	1.4277e-01	2.8417e-01	3.1213e-04	4.7368e-04	6.5899e-04	3.3492e-06	1.1243e-08	5.7085e-01	
3.0266e-05	1.0732e+03	1.0000e+05	8.7587e-02	2.8804e-01	7.4285e-04	1.4276e-01	2.8421e-01	3.0316e-04	4.6454e-04	6.5270e-04	3.2555e-06	1.0717e-08	5.7086e-01	
3.0737e-05	1.0732e+03	1.0000e+05	8.7585e-02	2.8804e-01	7.2391e-04	1.4276e-01	2.8424e-01	2.9459e-04	4.5574e-04	6.4661e-04	3.1658e-06	1.0224e-08	5.7087e-01	
3.1209e-05	1.0732e+03	1.0000e+05	8.7583e-02	2.8805e-01	7.0588e-04	1.4276e-01	2.8427e-01	2.8642e-04	4.4727e-04	6.4069e-04	3.0801e-06	9.7634e-09	5.7089e-01	
3.1680e-05	1.0732e+03	1.0000e+05	8.7582e-02	2.8806e-01	6.8869e-04	1.4276e-01	2.8430e-01	2.7861e-04	4.3909e-04	6.3493e-04	2.9982e-06	9.3315e-09	5.7090e-01	
3.2152e-05	1.0732e+03	1.0000e+05	8.7580e-02	2.8806e-01	6.7228e-04	1.4276e-01	2.8433e-01	2.7116e-04	4.3121e-04	6.2931e-04	2.9199e-06	8.9255e-09	5.7091e-01	
3.2623e-05	1.0732e+03	1.0000e+05	8.7578e-02	2.8807e-01	6.5660e-04	1.4275e-01	2.8436e-01	2.6404e-04	4.2360e-04	6.2383e-04	2.8450e-06	8.5438e-09	5.7092e-01	
3.3095e-05	1.0732e+03	1.0000e+05	8.7577e-02	2.8807e-01	6.4161e-04	1.4275e-01	2.8438e-01	2.5721e-04	4.1625e-04	6.1851e-04	2.7731e-06	8.1849e-09	5.7093e-01	
3.3566e-05	1.0732e+03	1.0000e+05	8.7575e-02	2.8808e-01	6.2727e-04	1.4275e-01	2.8441e-01	2.5067e-04	4.0915e-04	6.1332e-04	2.7041e-06	7.8476e-09	5.7094e-01	
3.4037e-05	1.0732e+03	1.0000e+05	8.7574e-02	2.8808e-01	6.1353e-04	1.4275e-01	2.8443e-01	2.4441e-04	4.0228e-04	6.0825e-04	2.6381e-06	7.5294e-09	5.7095e-01	
3.4509e-05	1.0732e+03	1.0000e+05	8.7572e-02	2.8809e-01	6.0036e-04	1.4275e-01	2.8446e-01	2.3840e-04	3.9564e-04	6.0331e-04	2.5746e-06	7.2287e-09	5.7096e-01	
3.4980e-05	1.0732e+03	1.0000e+05	8.7571e-02	2.8809e-01	5.8773e-04	1.4275e-01	2.8448e-01	2.3264e-04	3.8922e-04	5.9849e-04	2.5136e-06	6.9451e-09	5.7096e-01	
3.5452e-05	1.0732e+03	1.0000e+05	8.7570e-02	2.8809e-01	5.7561e-04	1.4275e-01	2.8450e-01	2.2709e-04	3.8300e-04	5.9379e-04	2.4550e-06	6.6776e-09	5.7097e-01	
3.5923e-05	1.0732e+03	1.0000e+05	8.7569e-02	2.8810e-01	5.6396e-04	1.4275e-01	2.8452e-01	2.2177e-04	3.7697e-04	5.8920e-04	2.3986e-06	6.4244e-09	5.7098e-01	
3.6394e-05	1.0732e+03	1.0000e+05	8.7567e-02	2.8810e-01	5.5276e-04	1.4274e-01	2.8454e-01	2.1666e-04	3.7113e-04	5.8470e-04	2.3444e-06	6.1844e-09	5.7099e-01	
3.6866e-05	1.0732e+03	1.0000e+05	8.7566e-02	2.8811e-01	5.4199e-04	1.4274e-01	2.8456e-01	2.1174e-04	3.6547e-04	5.8032e-04	2.2922e-06	5.9572e-09	5.7100e-01	
3.7337e-05	1.0732e+03	1.0000e+05	8.7565e-02	2.8811e-01	5.3162e-04	1.4274e-01	2.8458e-01	2.0700e-04	3.5997e-04	5.7603e-04	2.2418e-06	5.7419e-09	5.7100e-01	
3.7809e-05	1.0732e+03	1.0000e+05	8.7564e-02	2.8811e-01	5.2163e-04	1.4274e-01	2.8460e-01	2.0243e-04	3.5464e-04	5.7184e-04	2.1934e-06	5.5377e-09	5.7101e-01	
3.8280e-05	1.0732e+03	1.0000e+05	8.7563e-02	2.8812e-01	5.1201e-04	1.4274e-01	2.8461e-01	1.9804e-04	3.4947e-04	5.6773e-04	2.1466e-06	5.3437e-09	5.7102e-01	
3.8751e-05	1.0732e+03	1.0000e+05	8.7562e-02	2.8812e-01	5.0272e-04	1.4274e-01	2.8463e-01	1.9379e-04	3.4444e-04	5.6372e-04	2.1014e-06	5.1594e-09	5.7102e-01	
3.9223e-05	1.0732e+03	1.0000e+05	8.7561e-02	2.8812e-01	4.9376e-04	1.4274e-01	2.8465e-01	1.8970e-04	3.3956e-04	5.5980e-04	2.0578e-06	4.9843e-09	5.7103e-01	
3.9694e-05	1.0732e+03	1.0000e+05	8.7560e-02	2.8813e-01	4.8511e-04	1.4274e-01	2.8466e-01	1.8575e-04	3.3481e-04	5.5595e-04	2.0158e-06	4.8176e-09	5.7104e-01	
4.0166e-05	1.0732e+03	1.0000e+05	8.7559e-02	2.8813e-01	4.7675e-04	1.4274e-01	2.8468e-01	1.8194e-04	3.3020e-04	5.5218e-04	1.9751e-06	4.6588e-09	5.7104e-01	
4.0886e-05	1.0732e+03	1.0000e+05	8.7558e-02	2.8813e-01	4.6451e-04	1.4274e-01	2.8470e-01	1.7637e-04	3.2338e-04	5.4657e-04	1.9156e-06	4.4307e-09	5.7105e-01	
