         z	         T	         p	         u	       rho	        H2	        O2	       H2O	         H	         O	        OH	       HO2	      H2O2	        N2	
9.3396e-05	1.0732e+03	1.0000e+05	8.7523e-02	2.8825e-01	1.6202e-04	1.4276e-01	2.8528e-01	4.5626e-05	1.3081e-04	3.5025e-04	5.0270e-07	5.8238e-10	5.7128e-01	
9.3751e-05	1.0732e+03	1.0000e+05	8.7523e-02	2.8825e-01	1.6131e-04	1.4276e-01	2.8528e-01	4.5368e-05	1.3030e-04	3.4955e-04	4.9987e-07	5.7761e-10	5.7128e-01	
9.4106e-05	1.0732e+03	1.0000e+05	8.7523e-02	2.8825e-01	1.6062e-04	1.4276e-01	2.8528e-01	4.5097e-05	1.2979e-04	3.4889e-04	4.9691e-07	5.7316e-10	5.7128e-01	
9.4361e-05	1.0732e+03	1.0000e+05	8.7523e-02	2.8825e-01	1.6012e-04	1.4276e-01	2.8528e-01	4.4908e-05	1.2943e-04	3.4841e-04	4.9484e-07	5.6993e-10	5.7128e-01	
9.4616e-05	1.0732e+03	1.0000e+05	8.7523e-02	2.8825e-01	1.5963e-04	1.4276e-01	2.8528e-01	4.4724e-05	1.2907e-04	3.4792e-04	4.9283e-07	5.6671e-10	5.7128e-01	
9.4872e-05	1.0732e+03	1.0000e+05	8.7523e-02	2.8825e-01	1.5914e-04	1.4276e-01	2.8528e-01	4.4538e-05	1.2871e-04	3.4744e-04	4.9077e-07	5.6354e-10	5.7128e-01	
9.5127e-05	1.0732e+03	1.0000e+05	8.7523e-02	2.8825e-01	1.5865e-04	1.4276e-01	2.8528e-01	4.4350e-05	1.2836e-04	3.4698e-04	4.8873e-07	5.6045e-10	5.7128e-01	
9.5382e-05	1.0732e+03	1.0000e+05	8.7523e-02	2.8825e-01	1.5817e-04	1.4276e-01	2.8529e-01	4.4166e-05	1.2800e-04	3.4651e-04	4.8671e-07	5.5736e-10	5.7128e-01	
9.5637e-05	1.0732e+03	1.0000e+05	8.7523e-02	2.8825e-01	1.5769e-04	1.4276e-01	2.8529e-01	4.3986e-05	1.2765e-04	3.4603e-04	4.8474e-07	5.5427e-10	5.7128e-01	
9.5893e-05	1.0732e+03	1.0000e+05	8.7523e-02	2.8825e-01	1.5721e-04	1.4276e-01	2.8529e-01	4.3807e-05	1.2730e-04	3.4556e-04	4.8278e-07	5.5120e-10	5.7128e-01	
9.6148e-05	1.0732e+03	1.0000e+05	8.7523e-02	2.8825e-01	1.5673e-04	1.4276e-01	2.8529e-01	4.3627e-05	1.2695e-04	3.4509e-04	4.8081e-07	5.4818e-10	5.7128e-01	
9.6403e-05	1.0732e+03	1.0000e+05	8.7523e-02	2.8825e-01	1.5626e-04	1.4276e-01	2.8529e-01	4.3448e-05	1.2661e-04	3.4463e-04	4.7885e-07	5.4520e-10	5.7128e-01	
9.6658e-05	1.0732e+03	1.0000e+05	8.7523e-02	2.8825e-01	1.5579e-04	1.4276e-01	2.8529e-01	4.3272e-05	1.2626e-04	3.4417e-04	4.7691e-07	5.4224e-10	5.7128e-01	
9.6914e-05	1.0732e+03	1.0000e+05	8.7523e-02	2.8825e-01	1.5532e-04	1.4276e-01	2.8529e-01	4.3097e-05	1.2592e-04	3.4370e-04	4.7500e-07	5.3929e-10	5.7128e-01	
9.7301e-05	1.0732e+03	1.0000e+05	8.7523e-02	2.8825e-01	1.5462e-04	1.4276e-01	2.8529e-01	4.2833e-05	1.2540e-04	3.4301e-04	4.7211e-07	5.3488e-10	5.7128e-01	
9.7688e-05	1.0732e+03	1.0000e+05	8.7522e-02	2.8825e-01	1.5393e-04	1.4276e-01	2.8529e-01	4.2573e-05	1.2489e-04	3.4231e-04	4.6926e-07	5.3052e-10	5.7128e-01	
9.8076e-05	1.0732e+03	1.0000e+05	8.7522e-02	2.8825e-01	1.5324e-04	1.4276e-01	2.8530e-01	4.2315e-05	1.2438e-04	3.4162e-04	4.6643e-07	5.2624e-10	5.7128e-01	
9.8463e-05	1.0732e+03	1.0000e+05	8.7522e-02	2.8825e-01	1.5255e-04	1.4276e-01	2.8530e-01	4.2058e-05	1.2388e-04	3.4094e-04	4.6362e-07	5.2202e-10	5.7128e-01	
9.9109e-05	1.0732e+03	1.0000e+05	8.7522e-02	2.8825e-01	1.5143e-04	1.4276e-01	2.8530e-01	4.1637e-05	1.2305e-04	3.3981e-04	4.5901e-07	5.1508e-10	5.7128e-01	
9.9756e-05	1.0732e+03	1.0000e+05	8.7522e-02	2.8825e-01	1.5032e-04	1.4276e-01	2.8530e-01	4.1223e-05	1.2223e-04	3.3870e-04	4.5446e-07	5.0832e-10	5.7128e-01	
1.0040e-04	1.0732e+03	1.0000e+05	8.7522e-02	2.8825e-01	1.4923e-04	1.4276e-01	2.8530e-01	4.0817e-05	1.2142e-04	3.3759e-04	4.5001e-07	5.0168e-10	5.7129e-01	
1.0105e-04	1.0732e+03	1.0000e+05	8.7522e-02	2.8825e-01	1.4815e-04	1.4276e-01	2.8531e-01	4.0418e-05	1.2063e-04	3.3649e-04	4.4564e-07	4.9519e-10	5.7129e-01	
1.0222e-04	1.0732e+03	1.0000e+05	8.7522e-02	2.8825e-01	1.4624e-04	1.4276e-01	2.8531e-01	3.9710e-05	1.1921e-04	3.3453e-04	4.3788e-07	4.8380e-10	5.7129e-01	
1.0339e-04	1.0732e+03	1.0000e+05	8.7521e-02	2.8825e-01	1.4437e-04	1.4276e-01	2.8531e-01	3.9024e-05	1.1783e-04	3.3260e-04	4.3035e-07	4.7283e-10	5.7129e-01	
1.0457e-04	1.0732e+03	1.0000e+05	8.7521e-02	2.8825e-01	1.4256e-04	1.4276e-01	2.8532e-01	3.8357e-05	1.1648e-04	3.3072e-04	4.2304e-07	4.6229e-10	5.7129e-01	
1.0679e-04	1.0732e+03	1.0000e+05	8.7521e-02	2.8826e-01	1.3924e-04	1.4276e-01	2.8533e-01	3.7143e-05	1.1400e-04	3.2722e-04	4.0972e-07	4.4333e-10	5.7129e-01	
1.1021e-04	1.0732e+03	1.0000e+05	8.7520e-02	2.8826e-01	1.3444e-04	1.4276e-01	2.8534e-01	3.5405e-05	1.1041e-04	3.2207e-04	3.9065e-07	4.1675e-10	5.7130e-01	
1.1363e-04	1.0732e+03	1.0000e+05	8.7520e-02	2.8826e-01	1.2996e-04	1.4277e-01	2.8534e-01	3.3802e-05	1.0704e-04	3.1717e-04	3.7306e-07	3.9280e-10	5.7130e-01	
1.1705e-04	1.0732e+03	1.0000e+05	8.7519e-02	2.8826e-01	1.2578e-04	1.4277e-01	2.8535e-01	3.2318e-05	1.0388e-04	3.1250e-04	3.5676e-07	3.7108e-10	5.7130e-01	
1.2047e-04	1.0732e+03	1.0000e+05	8.7519e-02	2.8826e-01	1.2187e-04	1.4277e-01	2.8536e-01	3.0947e-05	1.0091e-04	3.0805e-04	3.4169e-07	3.5145e-10	5.7131e-01	
1.2389e-04	1.0732e+03	1.0000e+05	8.7518e-02	2.8826e-01	1.1821e-04	1.4277e-01	2.8537e-01	2.9672e-05	9.8115e-05	3.0379e-04	3.2768e-07	3.3358e-10	5.7131e-01	
1.2731e-04	1.0732e+03	1.0000e+05	8.7518e-02	2.8827e-01	1.1476e-04	1.4277e-01	2.8538e-01	2.8485e-05	9.5475e-05	2.9971e-04	3.1464e-07	3.1726e-10	5.7131e-01	
1.3073e-04	1.0732e+03	1.0000e+05	8.7517e-02	2.8827e-01	1.1151e-04	1.4277e-01	2.8538e-01	2.7379e-05	9.2980e-05	2.9580e-04	3.0247e-07	3.0231e-10	5.7132e-01	
1.3415e-04	1.0732e+03	1.0000e+05	8.7517e-02	2.8827e-01	1.0845e-04	1.4277e-01	2.8539e-01	2.6345e-05	9.0619e-05	2.9205e-04	2.9109e-07	2.8858e-10	5.7132e-01	
1.3757e-04	1.0732e+03	1.0000e+05	8.7516e-02	2.8827e-01	1.0556e-04	1.4277e-01	2.8540e-01	2.5376e-05	8.8379e-05	2.8845e-04	2.8043e-07	2.7593e-10	5.7132e-01	
1.4099e-04	1.0732e+03	1.0000e+05	8.7516e-02	2.8827e-01	1.0282e-04	1.4277e-01	2.8540e-01	2.4468e-05	8.6252e-05	2.8499e-04	2.7043e-07	2.6425e-10	5.7132e-01	
1.4441e-04	1.0732e+03	1.0000e+05	8.7516e-02	2.8827e-01	1.0023e-04	1.4277e-01	2.8541e-01	2.3614e-05	8.4231e-05	2.8166e-04	2.6104e-07	2.5344e-10	5.7133e-01	
1.4783e-04	1.0732e+03	1.0000e+05	8.7515e-02	2.8827e-01	9.7763e-05	1.4278e-01	2.8542e-01	2.2811e-05	8.2306e-05	2.7845e-04	2.5220e-07	2.4342e-10	5.7133e-01	
1.5125e-04	1.0732e+03	1.0000e+05	8.7515e-02	2.8827e-01	9.5422e-05	1.4278e-01	2.8542e-01	2.2054e-05	8.0472e-05	2.7535e-04	2.4386e-07	2.3410e-10	5.7133e-01	
1.5467e-04	1.0732e+03	1.0000e+05	8.7515e-02	2.8827e-01	9.3195e-05	1.4278e-01	2.8543e-01	2.1340e-05	7.8721e-05	2.7236e-04	2.3599e-07	2.2542e-10	5.7133e-01	
1.5809e-04	1.0732e+03	1.0000e+05	8.7515e-02	2.8828e-01	9.1073e-05	1.4278e-01	2.8543e-01	2.0665e-05	7.7049e-05	2.6948e-04	2.2856e-07	2.1732e-10	5.7133e-01	
1.6348e-04	1.0732e+03	1.0000e+05	8.7514e-02	2.8828e-01	8.7920e-05	1.4278e-01	2.8544e-01	1.9673e-05	7.4557e-05	2.6511e-04	2.1762e-07	2.0559e-10	5.7134e-01	
1.6888e-04	1.0732e+03	1.0000e+05	8.7514e-02	2.8828e-01	8.4984e-05	1.4278e-01	2.8544e-01	1.8759e-05	7.2228e-05	2.6097e-04	2.0755e-07	1.9496e-10	5.7134e-01	
1.7428e-04	1.0732e+03	1.0000e+05	8.7513e-02	2.8828e-01	8.2247e-05	1.4278e-01	2.8545e-01	1.7919e-05	7.0048e-05	2.5702e-04	1.9828e-07	1.8537e-10	5.7134e-01	
1.7968e-04	1.0732e+03	1.0000e+05	8.7513e-02	2.8828e-01	7.9688e-05	1.4278e-01	2.8546e-01	1.7141e-05	6.8004e-05	2.5327e-04	1.8970e-07	1.7661e-10	5.7134e-01	
1.8507e-04	1.0732e+03	1.0000e+05	8.7513e-02	2.8828e-01	7.7288e-05	1.4278e-01	2.8546e-01	1.6419e-05	6.6081e-05	2.4969e-04	1.8174e-07	1.6862e-10	5.7134e-01	
1.9047e-04	1.0732e+03	1.0000e+05	8.7513e-02	2.8828e-01	7.5035e-05	1.4278e-01	2.8547e-01	1.5751e-05	6.4268e-05	2.4626e-04	1.7436e-07	1.6130e-10	5.7135e-01	
1.9587e-04	1.0732e+03	1.0000e+05	8.7512e-02	2.8828e-01	7.2914e-05	1.4279e-01	2.8547e-01	1.5128e-05	6.2560e-05	2.4298e-04	1.6749e-07	1.5455e-10	5.7135e-01	
2.0127e-04	1.0732e+03	1.0000e+05	8.7512e-02	2.8828e-01	7.0915e-05	1.4279e-01	2.8548e-01	1.4545e-05	6.0944e-05	2.3984e-04	1.6106e-07	1.4832e-10	5.7135e-01	
2.0666e-04	1.0732e+03	1.0000e+05	8.7512e-02	2.8829e-01	6.9027e-05	1.4279e-01	2.8548e-01	1.4001e-05	5.9412e-05	2.3683e-04	1.5505e-07	1.4261e-10	5.7135e-01	
2.1206e-04	1.0732e+03	1.0000e+05	8.7511e-02	2.8829e-01	6.7242e-05	1.4279e-01	2.8549e-01	1.3494e-05	5.7962e-05	2.3394e-04	1.4945e-07	1.3729e-10	5.7135e-01	
2.1746e-04	1.0732e+03	1.0000e+05	8.7511e-02	2.8829e-01	6.5550e-05	1.4279e-01	2.8549e-01	1.3016e-05	5.6586e-05	2.3115e-04	1.4417e-07	1.3232e-10	5.7136e-01	
2.2286e-04	1.0732e+03	1.0000e+05	8.7511e-02	2.8829e-01	6.3946e-05	1.4279e-01	2.8549e-01	1.2566e-05	5.5275e-05	2.2848e-04	1.3920e-07	1.2771e-10	5.7136e-01	
2.2825e-04	1.0732e+03	1.0000e+05	8.7511e-02	2.8829e-01	6.2423e-05	1.4279e-01	2.8550e-01	1.2144e-05	5.4026e-05	2.2591e-04	1.3454e-07	1.2345e-10	5.7136e-01	
2.3365e-04	1.0732e+03	1.0000e+05	8.7511e-02	2.8829e-01	6.0973e-05	1.4279e-01	2.8550e-01	1.1748e-05	5.2841e-05	2.2341e-04	1.3016e-07	1.1942e-10	5.7136e-01	
2.3905e-04	1.0732e+03	1.0000e+05	8.7510e-02	2.8829e-01	5.9592e-05	1.4279e-01	2.8550e-01	1.1372e-05	5.1707e-05	2.2101e-04	1.2600e-07	1.1563e-10	5.7136e-01	
2.4278e-04	1.0732e+03	1.0000e+05	8.7510e-02	2.8829e-01	5.8675e-05	1.4279e-01	2.8551e-01	1.1124e-05	5.0952e-05	2.1940e-04	1.2326e-07	1.1317e-10	5.7136e-01	
2.4651e-04	1.0732e+03	1.0000e+05	8.7510e-02	2.8829e-01	5.7788e-05	1.4279e-01	2.8551e-01	1.0886e-05	5.0221e-05	2.1783e-04	1.2064e-07	1.1081e-10	5.7136e-01	
2.5024e-04	1.0732e+03	1.0000e+05	8.7510e-02	2.8829e-01	5.6928e-05	1.4279e-01	2.8551e-01	1.0656e-05	4.9513e-05	2.1629e-04	1.1810e-07	1.0853e-10	5.7136e-01	
2.5398e-04	1.0732e+03	1.0000e+05	8.7510e-02	2.8829e-01	5.6095e-05	1.4279e-01	2.8551e-01	1.0435e-05	4.8823e-05	2.1479e-04	1.1564e-07	1.0636e-10	5.7136e-01	
2.5771e-04	1.0732e+03	1.0000e+05	8.7510e-02	2.8829e-01	5.5287e-05	1.4279e-01	2.8551e-01	1.0222e-05	4.8155e-05	2.1333e-04	1.1329e-07	1.0427e-10	5.7136e-01	
2.6144e-04	1.0732e+03	1.0000e+05	8.7510e-02	2.8829e-01	5.4504e-05	1.4279e-01	2.8552e-01	1.0016e-05	4.7507e-05	2.1189e-04	1.1102e-07	1.0227e-10	5.7136e-01	
2.6517e-04	1.0732e+03	1.0000e+05	8.7510e-02	2.8829e-01	5.3743e-05	1.4279e-01	2.8552e-01	9.8177e-06	4.6876e-05	2.1048e-04	1.0882e-07	1.0034e-10	5.7137e-01	
2.6890e-04	1.0732e+03	1.0000e+05	8.7510e-02	2.8829e-01	5.3005e-05	1.4279e-01	2.8552e-01	9.6259e-06	4.6263e-05	2.0911e-04	1.0670e-07	9.8478e-11	5.7137e-01	
2.7264e-04	1.0732e+03	1.0000e+05	8.7509e-02	2.8829e-01	5.2287e-05	1.4280e-01	2.8552e-01	9.4408e-06	4.5668e-05	2.0776e-04	1.0466e-07	9.6689e-11	5.7137e-01	
2.7879e-04	1.0732e+03	1.0000e+05	8.7509e-02	2.8829e-01	5.1148e-05	1.4280e-01	2.8553e-01	9.1488e-06	4.4720e-05	2.0560e-04	1.0143e-07	9.3879e-11	5.7137e-01	
2.8495e-04	1.0732e+03	1.0000e+05	8.7509e-02	2.8829e-01	5.0059e-05	1.4280e-01	2.8553e-01	8.8722e-06	4.3813e-05	2.0352e-04	9.8366e-08	9.1231e-11	5.7137e-01	
2.9110e-04	1.0732e+03	1.0000e+05	8.7509e-02	2.8829e-01	4.9019e-05	1.4280e-01	2.8553e-01	8.6100e-06	4.2945e-05	2.0150e-04	9.5466e-08	8.8733e-11	5.7137e-01	
2.9726e-04	1.0732e+03	1.0000e+05	8.7509e-02	2.8829e-01	4.8024e-05	1.4280e-01	2.8553e-01	8.3612e-06	4.2112e-05	1.9954e-04	9.2713e-08	8.6373e-11	5.7137e-01	
3.0694e-04	1.0732e+03	1.0000e+05	8.7509e-02	2.8830e-01	4.6542e-05	1.4280e-01	2.8554e-01	7.9949e-06	4.0872e-05	1.9659e-04	8.8660e-08	8.2913e-11	5.7137e-01	
3.1662e-04	1.0732e+03	1.0000e+05	8.7508e-02	2.8830e-01	4.5154e-05	1.4280e-01	2.8554e-01	7.6556e-06	3.9706e-05	1.9378e-04	8.4905e-08	7.9724e-11	5.7137e-01	
3.2630e-04	1.0732e+03	1.0000e+05	8.7508e-02	2.8830e-01	4.3851e-05	1.4280e-01	2.8554e-01	7.3414e-06	3.8610e-05	1.9110e-04	8.1427e-08	7.6785e-11	5.7137e-01	
3.3598e-04	1.0732e+03	1.0000e+05	8.7508e-02	2.8830e-01	4.2627e-05	1.4280e-01	2.8555e-01	7.0491e-06	3.7578e-05	1.8853e-04	7.8191e-08	7.4063e-11	5.7138e-01	
3.5063e-04	1.0732e+03	1.0000e+05	8.7508e-02	2.8830e-01	4.0904e-05	1.4280e-01	2.8555e-01	6.6440e-06	3.6122e-05	1.8486e-04	7.3706e-08	7.0305e-11	5.7138e-01	
3.6529e-04	1.0732e+03	1.0000e+05	8.7508e-02	2.8830e-01	3.9325e-05	1.4280e-01	2.8556e-01	6.2790e-06	3.4784e-05	1.8141e-04	6.9665e-08	6.6933e-11	5.7138e-01	
3.7994e-04	1.0732e+03	1.0000e+05	8.7507e-02	2.8830e-01	3.7870e-05	1.4280e-01	2.8556e-01	5.9471e-06	3.3548e-05	1.7817e-04	6.5989e-08	6.3878e-11	5.7138e-01	
3.9459e-04	1.0732e+03	1.0000e+05	8.7507e-02	2.8830e-01	3.6525e-05	1.4281e-01	2.8556e-01	5.6456e-06	3.2402e-05	1.7511e-04	6.2649e-08	6.1108e-11	5.7138e-01	
4.0924e-04	1.0732e+03	1.0000e+05	8.7507e-02	2.8830e-01	3.5278e-05	1.4281e-01	2.8557e-01	5.3702e-06	3.1339e-05	1.7221e-04	5.9599e-08	5.8577e-11	5.7138e-01	
4.2390e-04	1.0732e+03	1.0000e+05	8.7507e-02	2.8830e-01	3.4120e-05	1.4281e-01	2.8557e-01	5.1174e-06	3.0348e-05	1.6948e-04	5.6798e-08	5.6260e-11	5.7138e-01	
4.3855e-04	1.0732e+03	1.0000e+05	8.7507e-02	2.8830e-01	3.3040e-05	1.4281e-01	2.8557e-01	4.8854e-06	2.9422e-05	1.6688e-04	5.4226e-08	5.4137e-11	5.7138e-01	
4.5320e-04	1.0732e+03	1.0000e+05	8.7507e-02	2.8830e-01	3.2031e-05	1.4281e-01	2.8558e-01	4.6717e-06	2.8556e-05	1.6441e-04	5.1858e-08	5.2176e-11	5.7139e-01	
4.6785e-04	1.0732e+03	1.0000e+05	8.7506e-02	2.8830e-01	3.1086e-05	1.4281e-01	2.8558e-01	4.4737e-06	2.7744e-05	1.6206e-04	4.9664e-08	5.0357e-11	5.7139e-01	
4.8251e-04	1.0732e+03	1.0000e+05	8.7506e-02	2.8830e-01	3.0200e-05	1.4281e-01	2.8558e-01	4.2902e-06	2.6979e-05	1.5982e-04	4.7629e-08	4.8673e-11	5.7139e-01	
4.9716e-04	1.0732e+03	1.0000e+05	8.7506e-02	2.8830e-01	2.9366e-05	1.4281e-01	2.8558e-01	4.1200e-06	2.6259e-05	1.5768e-04	4.5742e-08	4.7111e-11	5.7139e-01	
5.1181e-04	1.0732e+03	1.0000e+05	8.7506e-02	2.8830e-01	2.8580e-05	1.4281e-01	2.8559e-01	3.9614e-06	2.5581e-05	1.5563e-04	4.3985e-08	4.5649e-11	5.7139e-01	
5.2646e-04	1.0732e+03	1.0000e+05	8.7506e-02	2.8830e-01	2.7839e-05	1.4281e-01	2.8559e-01	3.8132e-06	2.4939e-05	1.5367e-04	4.2341e-08	4.4277e-11	5.7139e-01	
5.4112e-04	1.0732e+03	1.0000e+05	8.7506e-02	2.8830e-01	2.7138e-05	1.4281e-01	2.8559e-01	3.6747e-06	2.4330e-05	1.5179e-04	4.0806e-08	4.2998e-11	5.7139e-01	
5.5577e-04	1.0732e+03	1.0000e+05	8.7506e-02	2.8831e-01	2.6474e-05	1.4281e-01	2.8559e-01	3.5452e-06	2.3754e-05	1.4998e-04	3.9369e-08	4.1801e-11	5.7139e-01	
5.7042e-04	1.0732e+03	1.0000e+05	8.7506e-02	2.8831e-01	2.5844e-05	1.4281e-01	2.8559e-01	3.4234e-06	2.3208e-05	1.4825e-04	3.8019e-08	4.0666e-11	5.7139e-01	
5.8507e-04	1.0732e+03	1.0000e+05	8.7506e-02	2.8831e-01	2.5246e-05	1.4281e-01	2.8560e-01	3.3088e-06	2.2686e-05	1.4658e-04	3.6748e-08	3.9595e-11	5.7139e-01	
5.9973e-04	1.0732e+03	1.0000e+05	8.7505e-02	2.8831e-01	2.4678e-05	1.4281e-01	2.8560e-01	3.2012e-06	2.2190e-05	1.4497e-04	3.5554e-08	3.8592e-11	5.7139e-01	
6.1438e-04	1.0732e+03	1.0000e+05	8.7505e-02	2.8831e-01	2.4136e-05	1.4281e-01	2.8560e-01	3.0999e-06	2.1720e-05	1.4342e-04	3.4430e-08	3.7642e-11	5.7139e-01	
6.2903e-04	1.0732e+03	1.0000e+05	8.7505e-02	2.8831e-01	2.3619e-05	1.4281e-01	2.8560e-01	3.0038e-06	2.1270e-05	1.4192e-04	3.3364e-08	3.6732e-11	5.7139e-01	
6.4368e-04	1.0732e+03	1.0000e+05	8.7505e-02	2.8831e-01	2.3127e-05	1.4282e-01	2.8560e-01	2.9129e-06	2.0837e-05	1.4049e-04	3.2357e-08	3.5878e-11	5.7139e-01	
6.5834e-04	1.0732e+03	1.0000e+05	8.7505e-02	2.8831e-01	2.2656e-05	1.4282e-01	2.8560e-01	2.8273e-06	2.0425e-05	1.3909e-04	3.1406e-08	3.5069e-11	5.7140e-01	
6.7299e-04	1.0732e+03	1.0000e+05	8.7505e-02	2.8831e-01	2.2205e-05	1.4282e-01	2.8561e-01	2.7456e-06	2.0031e-05	1.3774e-04	3.0500e-08	3.4289e-11	5.7140e-01	
6.8764e-04	1.0732e+03	1.0000e+05	8.7505e-02	2.8831e-01	2.1773e-05	1.4282e-01	2.8561e-01	2.6679e-06	1.9650e-05	1.3644e-04	2.9638e-08	3.3548e-11	5.7140e-01	
7.0229e-04	1.0732e+03	1.0000e+05	8.7505e-02	2.8831e-01	2.1361e-05	1.4282e-01	2.8561e-01	2.5947e-06	1.9287e-05	1.3518e-04	2.8826e-08	3.2851e-11	5.7140e-01	
7.1694e-04	1.0732e+03	1.0000e+05	8.7505e-02	2.8831e-01	2.0964e-05	1.4282e-01	2.8561e-01	2.5249e-06	1.8941e-05	1.3395e-04	2.8051e-08	3.2176e-11	5.7140e-01	
7.3160e-04	1.0732e+03	1.0000e+05	8.7505e-02	2.8831e-01	2.0582e-05	1.4282e-01	2.8561e-01	2.4579e-06	1.8606e-05	1.3276e-04	2.7307e-08	3.1528e-11	5.7140e-01	
7.4625e-04	1.0732e+03	1.0000e+05	8.7505e-02	2.8831e-01	2.0217e-05	1.4282e-01	2.8561e-01	2.3947e-06	1.8283e-05	1.3161e-04	2.6606e-08	3.0920e-11	5.7140e-01	
7.6090e-04	1.0732e+03	1.0000e+05	8.7505e-02	2.8831e-01	1.9864e-05	1.4282e-01	2.8561e-01	2.3342e-06	1.7975e-05	1.3049e-04	2.5935e-08	3.0329e-11	5.7140e-01	
7.7555e-04	1.0732e+03	1.0000e+05	8.7505e-02	2.8831e-01	1.9525e-05	1.4282e-01	2.8561e-01	2.2759e-06	1.7676e-05	1.2940e-04	2.5288e-08	2.9761e-11	5.7140e-01	
7.9021e-04	1.0732e+03	1.0000e+05	8.7505e-02	2.8831e-01	1.9199e-05	1.4282e-01	2.8561e-01	2.2207e-06	1.7385e-05	1.2835e-04	2.4675e-08	2.9223e-11	5.7140e-01	
8.0486e-04	1.0732e+03	1.0000e+05	8.7505e-02	2.8831e-01	1.8885e-05	1.4282e-01	2.8562e-01	2.1683e-06	1.7109e-05	1.2732e-04	2.4093e-08	2.8708e-11	5.7140e-01	
8.1951e-04	1.0732e+03	1.0000e+05	8.7504e-02	2.8831e-01	1.8581e-05	1.4282e-01	2.8562e-01	2.1172e-06	1.6842e-05	1.2631e-04	2.3527e-08	2.8202e-11	5.7140e-01	
8.3416e-04	1.0732e+03	1.0000e+05	8.7504e-02	2.8831e-01	1.8288e-05	1.4282e-01	2.8562e-01	2.0685e-06	1.6582e-05	1.2534e-04	2.2986e-08	2.7722e-11	5.7140e-01	
8.4882e-04	1.0732e+03	1.0000e+05	8.7504e-02	2.8831e-01	1.8005e-05	1.4282e-01	2.8562e-01	2.0223e-06	1.6331e-05	1.2439e-04	2.2473e-08	2.7262e-11	5.7140e-01	
8.6347e-04	1.0732e+03	1.0000e+05	8.7504e-02	2.8831e-01	1.7732e-05	1.4282e-01	2.8562e-01	1.9774e-06	1.6092e-05	1.2346e-04	2.1975e-08	2.6813e-11	5.7140e-01	
8.7812e-04	1.0732e+03	1.0000e+05	8.7504e-02	2.8831e-01	1.7466e-05	1.4282e-01	2.8562e-01	1.9339e-06	1.5858e-05	1.2256e-04	2.1491e-08	2.6375e-11	5.7140e-01	
8.9277e-04	1.0732e+03	1.0000e+05	8.7504e-02	2.8831e-01	1.7210e-05	1.4282e-01	2.8562e-01	1.8929e-06	1.5629e-05	1.2169e-04	2.1036e-08	2.5964e-11	5.7140e-01	
9.0743e-04	1.0732e+03	1.0000e+05	8.7504e-02	2.8831e-01	1.6963e-05	1.4282e-01	2.8562e-01	1.8535e-06	1.5409e-05	1.2083e-04	2.0600e-08	2.5569e-11	5.7140e-01	
9.2208e-04	1.0732e+03	1.0000e+05	8.7504e-02	2.8831e-01	1.6722e-05	1.4282e-01	2.8562e-01	1.8149e-06	1.5197e-05	1.1999e-04	2.0170e-08	2.5176e-11	5.7140e-01	
9.3673e-04	1.0732e+03	1.0000e+05	8.7504e-02	2.8831e-01	1.6490e-05	1.4282e-01	2.8562e-01	1.7780e-06	1.4990e-05	1.1917e-04	1.9761e-08	2.4801e-11	5.7140e-01	
9.5138e-04	1.0732e+03	1.0000e+05	8.7504e-02	2.8831e-01	1.6264e-05	1.4282e-01	2.8562e-01	1.7430e-06	1.4788e-05	1.1838e-04	1.9372e-08	2.4440e-11	5.7140e-01	
9.6604e-04	1.0732e+03	1.0000e+05	8.7504e-02	2.8831e-01	1.6045e-05	1.4282e-01	2.8563e-01	1.7082e-06	1.4595e-05	1.1760e-04	1.8986e-08	2.4087e-11	5.7140e-01	
9.8069e-04	1.0732e+03	1.0000e+05	8.7504e-02	2.8831e-01	1.5832e-05	1.4282e-01	2.8563e-01	1.6752e-06	1.4405e-05	1.1683e-04	1.8619e-08	2.3747e-11	5.7140e-01	
9.9534e-04	1.0732e+03	1.0000e+05	8.7504e-02	2.8831e-01	1.5626e-05	1.4282e-01	2.8563e-01	1.6433e-06	1.4222e-05	1.1609e-04	1.8265e-08	2.3417e-11	5.7140e-01	
1.0100e-03	1.0732e+03	1.0000e+05	8.7504e-02	2.8831e-01	1.5425e-05	1.4282e-01	2.8563e-01	1.6125e-06	1.4044e-05	1.1536e-04	1.7923e-08	2.3098e-11	5.7140e-01	
1.0246e-03	1.0732e+03	1.0000e+05	8.7504e-02	2.8831e-01	1.5230e-05	1.4282e-01	2.8563e-01	1.5827e-06	1.3870e-05	1.1464e-04	1.7592e-08	2.2789e-11	5.7140e-01	
1.0518e-03	1.0732e+03	1.0000e+05	8.7504e-02	2.8831e-01	1.4883e-05	1.4282e-01	2.8563e-01	1.5302e-06	1.3561e-05	1.1336e-04	1.7009e-08	2.2239e-11	5.7140e-01	
1.0789e-03	1.0732e+03	1.0000e+05	8.7504e-02	2.8831e-01	1.4554e-05	1.4282e-01	2.8563e-01	1.4807e-06	1.3267e-05	1.1212e-04	1.6459e-08	2.1718e-11	5.7140e-01	
1.1060e-03	1.0732e+03	1.0000e+05	8.7504e-02	2.8831e-01	1.4240e-05	1.4282e-01	2.8563e-01	1.4341e-06	1.2987e-05	1.1093e-04	1.5942e-08	2.1224e-11	5.7140e-01	
