         z	         T	      (NI)	     H(NI)	     O(NI)	   CH4(NI)	   H2O(NI)	   CO2(NI)	    CO(NI)	    OH(NI)	     C(NI)	   HCO(NI)	    CH(NI)	   CH3(NI)	   CH2(NI)	
2.4473e-06	1.0732e+03	8.2509e-01	1.2082e-02	4.7293e-02	1.5782e-09	8.6394e-06	1.4847e-05	1.1548e-01	1.9066e-05	9.0933e-06	1.1979e-13	3.7374e-11	3.5189e-10	2.4519e-10	
2.6794e-06	1.0732e+03	8.2118e-01	1.2619e-02	4.5770e-02	1.5692e-09	9.2412e-06	1.5318e-05	1.2038e-01	1.9363e-05	9.1789e-06	1.3468e-13	3.6701e-11	3.4635e-10	2.4090e-10	
2.9115e-06	1.0732e+03	8.1753e-01	1.3134e-02	4.4369e-02	1.5607e-09	9.8214e-06	1.5746e-05	1.2492e-01	1.9624e-05	9.2632e-06	1.4988e-13	3.6081e-11	3.4123e-10	2.3694e-10	
3.1436e-06	1.0732e+03	8.1409e-01	1.3630e-02	4.3074e-02	1.5528e-09	1.0382e-05	1.6134e-05	1.2915e-01	1.9854e-05	9.3462e-06	1.6536e-13	3.5506e-11	3.3649e-10	2.3327e-10	
3.3758e-06	1.0732e+03	8.1086e-01	1.4109e-02	4.1871e-02	1.5452e-09	1.0924e-05	1.6489e-05	1.3311e-01	2.0056e-05	9.4279e-06	1.8109e-13	3.4970e-11	3.3208e-10	2.2984e-10	
3.6079e-06	1.0732e+03	8.0779e-01	1.4572e-02	4.0747e-02	1.5380e-09	1.1449e-05	1.6814e-05	1.3683e-01	2.0236e-05	9.5088e-06	1.9706e-13	3.4469e-11	3.2796e-10	2.2664e-10	
3.8400e-06	1.0732e+03	8.0488e-01	1.5021e-02	3.9696e-02	1.5311e-09	1.1959e-05	1.7111e-05	1.4034e-01	2.0395e-05	9.5888e-06	2.1326e-13	3.3999e-11	3.2409e-10	2.2363e-10	
4.0722e-06	1.0732e+03	8.0211e-01	1.5457e-02	3.8713e-02	1.5245e-09	1.2454e-05	1.7386e-05	1.4366e-01	2.0538e-05	9.6671e-06	2.2965e-13	3.3558e-11	3.2047e-10	2.2081e-10	
4.3043e-06	1.0732e+03	7.9945e-01	1.5879e-02	3.7797e-02	1.5182e-09	1.2936e-05	1.7643e-05	1.4681e-01	2.0668e-05	9.7430e-06	2.4621e-13	3.3145e-11	3.1708e-10	2.1816e-10	
4.4568e-06	1.0732e+03	7.9777e-01	1.6151e-02	3.7221e-02	1.5142e-09	1.3245e-05	1.7800e-05	1.4880e-01	2.0746e-05	9.7928e-06	2.5719e-13	3.2886e-11	3.1495e-10	2.1650e-10	
4.5617e-06	1.0732e+03	7.9664e-01	1.6336e-02	3.6836e-02	1.5115e-09	1.3455e-05	1.7903e-05	1.5012e-01	2.0795e-05	9.8270e-06	2.6478e-13	3.2712e-11	3.1353e-10	2.1538e-10	
4.6666e-06	1.0732e+03	7.9553e-01	1.6519e-02	3.6462e-02	1.5088e-09	1.3662e-05	1.8003e-05	1.5142e-01	2.0843e-05	9.8608e-06	2.7241e-13	3.2543e-11	3.1214e-10	2.1430e-10	
4.7724e-06	1.0732e+03	7.9444e-01	1.6700e-02	3.6095e-02	1.5062e-09	1.3869e-05	1.8100e-05	1.5271e-01	2.0889e-05	9.8946e-06	2.8013e-13	3.2377e-11	3.1078e-10	2.1323e-10	
4.8782e-06	1.0732e+03	7.9336e-01	1.6880e-02	3.5737e-02	1.5036e-09	1.4073e-05	1.8195e-05	1.5396e-01	2.0933e-05	9.9282e-06	2.8788e-13	3.2214e-11	3.0945e-10	2.1219e-10	
4.9840e-06	1.0732e+03	7.9230e-01	1.7058e-02	3.5387e-02	1.5010e-09	1.4275e-05	1.8286e-05	1.5519e-01	2.0974e-05	9.9616e-06	2.9567e-13	3.2056e-11	3.0815e-10	2.1117e-10	
5.0898e-06	1.0732e+03	7.9126e-01	1.7234e-02	3.5045e-02	1.4985e-09	1.4475e-05	1.8374e-05	1.5640e-01	2.1014e-05	9.9949e-06	3.0348e-13	3.1900e-11	3.0688e-10	2.1017e-10	
5.1956e-06	1.0732e+03	7.9023e-01	1.7408e-02	3.4713e-02	1.4960e-09	1.4673e-05	1.8460e-05	1.5758e-01	2.1052e-05	1.0028e-05	3.1132e-13	3.1749e-11	3.0565e-10	2.0920e-10	
5.3014e-06	1.0732e+03	7.8922e-01	1.7580e-02	3.4389e-02	1.4936e-09	1.4868e-05	1.8543e-05	1.5874e-01	2.1088e-05	1.0060e-05	3.1918e-13	3.1601e-11	3.0444e-10	2.0825e-10	
5.4072e-06	1.0732e+03	7.8823e-01	1.7751e-02	3.4071e-02	1.4911e-09	1.5062e-05	1.8624e-05	1.5988e-01	2.1123e-05	1.0093e-05	3.2708e-13	3.1457e-11	3.0326e-10	2.0732e-10	
5.5130e-06	1.0732e+03	7.8726e-01	1.7919e-02	3.3761e-02	1.4888e-09	1.5253e-05	1.8702e-05	1.6100e-01	2.1156e-05	1.0125e-05	3.3499e-13	3.1315e-11	3.0210e-10	2.0641e-10	
5.6188e-06	1.0732e+03	7.8630e-01	1.8087e-02	3.3459e-02	1.4864e-09	1.5442e-05	1.8777e-05	1.6209e-01	2.1188e-05	1.0157e-05	3.4294e-13	3.1177e-11	3.0097e-10	2.0552e-10	
5.7246e-06	1.0732e+03	7.8535e-01	1.8252e-02	3.3164e-02	1.4841e-09	1.5630e-05	1.8851e-05	1.6317e-01	2.1218e-05	1.0189e-05	3.5089e-13	3.1041e-11	2.9987e-10	2.0465e-10	
5.8304e-06	1.0732e+03	7.8442e-01	1.8416e-02	3.2874e-02	1.4818e-09	1.5816e-05	1.8923e-05	1.6423e-01	2.1247e-05	1.0220e-05	3.5888e-13	3.0909e-11	2.9878e-10	2.0380e-10	
5.9362e-06	1.0732e+03	7.8350e-01	1.8578e-02	3.2591e-02	1.4796e-09	1.6000e-05	1.8992e-05	1.6526e-01	2.1274e-05	1.0252e-05	3.6690e-13	3.0779e-11	2.9772e-10	2.0296e-10	
6.0420e-06	1.0732e+03	7.8260e-01	1.8739e-02	3.2313e-02	1.4774e-09	1.6182e-05	1.9058e-05	1.6629e-01	2.1300e-05	1.0283e-05	3.7493e-13	3.0651e-11	2.9668e-10	2.0213e-10	
6.1478e-06	1.0732e+03	7.8170e-01	1.8898e-02	3.2042e-02	1.4752e-09	1.6362e-05	1.9124e-05	1.6729e-01	2.1326e-05	1.0314e-05	3.8298e-13	3.0526e-11	2.9566e-10	2.0133e-10	
6.2536e-06	1.0732e+03	7.8082e-01	1.9056e-02	3.1777e-02	1.4730e-09	1.6541e-05	1.9187e-05	1.6828e-01	2.1350e-05	1.0345e-05	3.9106e-13	3.0404e-11	2.9467e-10	2.0054e-10	
6.3594e-06	1.0732e+03	7.7996e-01	1.9213e-02	3.1516e-02	1.4709e-09	1.6717e-05	1.9249e-05	1.6925e-01	2.1373e-05	1.0375e-05	3.9915e-13	3.0284e-11	2.9369e-10	1.9977e-10	
6.4652e-06	1.0732e+03	7.7910e-01	1.9368e-02	3.1261e-02	1.4688e-09	1.6893e-05	1.9308e-05	1.7020e-01	2.1395e-05	1.0406e-05	4.0727e-13	3.0166e-11	2.9273e-10	1.9901e-10	
6.5710e-06	1.0732e+03	7.7825e-01	1.9522e-02	3.1012e-02	1.4667e-09	1.7066e-05	1.9367e-05	1.7114e-01	2.1416e-05	1.0436e-05	4.1540e-13	3.0051e-11	2.9179e-10	1.9827e-10	
6.6768e-06	1.0732e+03	7.7742e-01	1.9674e-02	3.0767e-02	1.4646e-09	1.7238e-05	1.9424e-05	1.7207e-01	2.1436e-05	1.0466e-05	4.2355e-13	2.9937e-11	2.9087e-10	1.9753e-10	
6.7826e-06	1.0732e+03	7.7660e-01	1.9825e-02	3.0527e-02	1.4626e-09	1.7409e-05	1.9479e-05	1.7298e-01	2.1455e-05	1.0496e-05	4.3172e-13	2.9826e-11	2.8997e-10	1.9682e-10	
6.8884e-06	1.0732e+03	7.7579e-01	1.9975e-02	3.0292e-02	1.4606e-09	1.7578e-05	1.9532e-05	1.7388e-01	2.1473e-05	1.0525e-05	4.3991e-13	2.9717e-11	2.8908e-10	1.9611e-10	
6.9942e-06	1.0732e+03	7.7498e-01	2.0124e-02	3.0061e-02	1.4586e-09	1.7745e-05	1.9584e-05	1.7476e-01	2.1490e-05	1.0555e-05	4.4811e-13	2.9609e-11	2.8821e-10	1.9542e-10	
7.1000e-06	1.0732e+03	7.7419e-01	2.0272e-02	2.9835e-02	1.4566e-09	1.7912e-05	1.9635e-05	1.7563e-01	2.1507e-05	1.0584e-05	4.5633e-13	2.9504e-11	2.8735e-10	1.9474e-10	
7.2058e-06	1.0732e+03	7.7341e-01	2.0418e-02	2.9613e-02	1.4546e-09	1.8076e-05	1.9684e-05	1.7649e-01	2.1522e-05	1.0613e-05	4.6456e-13	2.9401e-11	2.8651e-10	1.9407e-10	
7.3115e-06	1.0732e+03	7.7264e-01	2.0563e-02	2.9394e-02	1.4527e-09	1.8239e-05	1.9732e-05	1.7734e-01	2.1537e-05	1.0642e-05	4.7282e-13	2.9299e-11	2.8568e-10	1.9341e-10	
7.4173e-06	1.0732e+03	7.7187e-01	2.0708e-02	2.9180e-02	1.4508e-09	1.8401e-05	1.9779e-05	1.7817e-01	2.1551e-05	1.0671e-05	4.8109e-13	2.9199e-11	2.8487e-10	1.9276e-10	
7.5231e-06	1.0732e+03	7.7112e-01	2.0850e-02	2.8970e-02	1.4489e-09	1.8562e-05	1.9825e-05	1.7899e-01	2.1565e-05	1.0700e-05	4.8937e-13	2.9101e-11	2.8408e-10	1.9213e-10	
7.6289e-06	1.0732e+03	7.7037e-01	2.0992e-02	2.8764e-02	1.4471e-09	1.8721e-05	1.9869e-05	1.7980e-01	2.1578e-05	1.0728e-05	4.9766e-13	2.9004e-11	2.8329e-10	1.9150e-10	
7.7347e-06	1.0732e+03	7.6963e-01	2.1133e-02	2.8561e-02	1.4452e-09	1.8879e-05	1.9912e-05	1.8060e-01	2.1590e-05	1.0757e-05	5.0598e-13	2.8909e-11	2.8252e-10	1.9089e-10	
7.8405e-06	1.0732e+03	7.6890e-01	2.1273e-02	2.8361e-02	1.4434e-09	1.9035e-05	1.9954e-05	1.8139e-01	2.1602e-05	1.0785e-05	5.1430e-13	2.8815e-11	2.8176e-10	1.9028e-10	
7.9463e-06	1.0732e+03	7.6818e-01	2.1412e-02	2.8166e-02	1.4416e-09	1.9191e-05	1.9996e-05	1.8217e-01	2.1613e-05	1.0813e-05	5.2264e-13	2.8723e-11	2.8102e-10	1.8968e-10	
8.0521e-06	1.0732e+03	7.6747e-01	2.1549e-02	2.7974e-02	1.4398e-09	1.9345e-05	2.0036e-05	1.8294e-01	2.1624e-05	1.0840e-05	5.3099e-13	2.8633e-11	2.8029e-10	1.8910e-10	
8.1579e-06	1.0732e+03	7.6676e-01	2.1686e-02	2.7784e-02	1.4380e-09	1.9498e-05	2.0074e-05	1.8369e-01	2.1633e-05	1.0868e-05	5.3936e-13	2.8544e-11	2.7956e-10	1.8852e-10	
8.2637e-06	1.0732e+03	7.6607e-01	2.1822e-02	2.7597e-02	1.4362e-09	1.9649e-05	2.0112e-05	1.8444e-01	2.1643e-05	1.0896e-05	5.4773e-13	2.8456e-11	2.7885e-10	1.8795e-10	
8.3695e-06	1.0732e+03	7.6537e-01	2.1957e-02	2.7415e-02	1.4345e-09	1.9800e-05	2.0150e-05	1.8518e-01	2.1652e-05	1.0923e-05	5.5612e-13	2.8370e-11	2.7816e-10	1.8739e-10	
8.4753e-06	1.0732e+03	7.6469e-01	2.2091e-02	2.7235e-02	1.4328e-09	1.9949e-05	2.0186e-05	1.8591e-01	2.1660e-05	1.0950e-05	5.6451e-13	2.8285e-11	2.7747e-10	1.8684e-10	
8.5811e-06	1.0732e+03	7.6401e-01	2.2224e-02	2.7058e-02	1.4311e-09	2.0098e-05	2.0220e-05	1.8663e-01	2.1668e-05	1.0978e-05	5.7293e-13	2.8201e-11	2.7679e-10	1.8629e-10	
8.6869e-06	1.0732e+03	7.6335e-01	2.2356e-02	2.6883e-02	1.4294e-09	2.0245e-05	2.0255e-05	1.8734e-01	2.1675e-05	1.1005e-05	5.8136e-13	2.8118e-11	2.7612e-10	1.8576e-10	
8.7927e-06	1.0732e+03	7.6268e-01	2.2487e-02	2.6712e-02	1.4277e-09	2.0391e-05	2.0289e-05	1.8804e-01	2.1683e-05	1.1031e-05	5.8978e-13	2.8037e-11	2.7547e-10	1.8523e-10	
8.8706e-06	1.0732e+03	7.6220e-01	2.2584e-02	2.6588e-02	1.4265e-09	2.0498e-05	2.0313e-05	1.8856e-01	2.1688e-05	1.1051e-05	5.9601e-13	2.7978e-11	2.7499e-10	1.8485e-10	
8.9485e-06	1.0732e+03	7.6172e-01	2.2679e-02	2.6465e-02	1.4252e-09	2.0604e-05	2.0336e-05	1.8906e-01	2.1692e-05	1.1070e-05	6.0223e-13	2.7920e-11	2.7452e-10	1.8447e-10	
9.0265e-06	1.0732e+03	7.6124e-01	2.2774e-02	2.6343e-02	1.4240e-09	2.0710e-05	2.0359e-05	1.8957e-01	2.1697e-05	1.1090e-05	6.0846e-13	2.7862e-11	2.7405e-10	1.8409e-10	
9.1044e-06	1.0732e+03	7.6077e-01	2.2869e-02	2.6223e-02	1.4228e-09	2.0815e-05	2.0383e-05	1.9007e-01	2.1701e-05	1.1109e-05	6.1469e-13	2.7805e-11	2.7359e-10	1.8372e-10	
9.1823e-06	1.0732e+03	7.6030e-01	2.2963e-02	2.6104e-02	1.4216e-09	2.0919e-05	2.0405e-05	1.9056e-01	2.1705e-05	1.1129e-05	6.2093e-13	2.7748e-11	2.7313e-10	1.8335e-10	
9.2602e-06	1.0732e+03	7.5983e-01	2.3057e-02	2.5986e-02	1.4204e-09	2.1023e-05	2.0427e-05	1.9105e-01	2.1709e-05	1.1148e-05	6.2718e-13	2.7692e-11	2.7268e-10	1.8298e-10	
9.3381e-06	1.0732e+03	7.5937e-01	2.3151e-02	2.5869e-02	1.4193e-09	2.1127e-05	2.0448e-05	1.9154e-01	2.1712e-05	1.1167e-05	6.3344e-13	2.7636e-11	2.7223e-10	1.8262e-10	
9.4161e-06	1.0732e+03	7.5891e-01	2.3243e-02	2.5754e-02	1.4181e-09	2.1230e-05	2.0470e-05	1.9202e-01	2.1716e-05	1.1186e-05	6.3969e-13	2.7582e-11	2.7179e-10	1.8227e-10	
9.5409e-06	1.0732e+03	7.5818e-01	2.3392e-02	2.5573e-02	1.4162e-09	2.1394e-05	2.0503e-05	1.9278e-01	2.1721e-05	1.1217e-05	6.4972e-13	2.7495e-11	2.7109e-10	1.8170e-10	
9.6657e-06	1.0732e+03	7.5746e-01	2.3539e-02	2.5394e-02	1.4144e-09	2.1556e-05	2.0535e-05	1.9354e-01	2.1725e-05	1.1247e-05	6.5977e-13	2.7409e-11	2.7040e-10	1.8114e-10	
9.7906e-06	1.0732e+03	7.5674e-01	2.3684e-02	2.5219e-02	1.4125e-09	2.1717e-05	2.0567e-05	1.9428e-01	2.1730e-05	1.1277e-05	6.6982e-13	2.7326e-11	2.6972e-10	1.8060e-10	
9.9154e-06	1.0732e+03	7.5603e-01	2.3829e-02	2.5046e-02	1.4107e-09	2.1877e-05	2.0597e-05	1.9502e-01	2.1733e-05	1.1308e-05	6.7990e-13	2.7243e-11	2.6906e-10	1.8006e-10	
1.0040e-05	1.0732e+03	7.5533e-01	2.3973e-02	2.4876e-02	1.4089e-09	2.2035e-05	2.0626e-05	1.9574e-01	2.1736e-05	1.1337e-05	6.8998e-13	2.7161e-11	2.6840e-10	1.7953e-10	
1.0245e-05	1.0732e+03	7.5420e-01	2.4207e-02	2.4604e-02	1.4060e-09	2.2293e-05	2.0673e-05	1.9691e-01	2.1741e-05	1.1386e-05	7.0658e-13	2.7030e-11	2.6734e-10	1.7867e-10	
1.0451e-05	1.0732e+03	7.5308e-01	2.4439e-02	2.4339e-02	1.4031e-09	2.2548e-05	2.0718e-05	1.9806e-01	2.1744e-05	1.1434e-05	7.2320e-13	2.6903e-11	2.6632e-10	1.7783e-10	
1.0656e-05	1.0732e+03	7.5199e-01	2.4668e-02	2.4080e-02	1.4003e-09	2.2799e-05	2.0761e-05	1.9919e-01	2.1746e-05	1.1482e-05	7.3986e-13	2.6778e-11	2.6531e-10	1.7702e-10	
1.0861e-05	1.0732e+03	7.5091e-01	2.4894e-02	2.3828e-02	1.3975e-09	2.3048e-05	2.0802e-05	2.0029e-01	2.1748e-05	1.1530e-05	7.5653e-13	2.6656e-11	2.6433e-10	1.7622e-10	
1.1066e-05	1.0732e+03	7.4985e-01	2.5119e-02	2.3583e-02	1.3948e-09	2.3293e-05	2.0841e-05	2.0138e-01	2.1749e-05	1.1577e-05	7.7323e-13	2.6538e-11	2.6338e-10	1.7544e-10	
1.1457e-05	1.0732e+03	7.4787e-01	2.5538e-02	2.3133e-02	1.3896e-09	2.3751e-05	2.0910e-05	2.0338e-01	2.1748e-05	1.1665e-05	8.0508e-13	2.6319e-11	2.6162e-10	1.7401e-10	
1.1847e-05	1.0732e+03	7.4595e-01	2.5950e-02	2.2704e-02	1.3846e-09	2.4199e-05	2.0973e-05	2.0532e-01	2.1744e-05	1.1752e-05	8.3699e-13	2.6110e-11	2.5994e-10	1.7264e-10	
1.2237e-05	1.0732e+03	7.4409e-01	2.6354e-02	2.2294e-02	1.3798e-09	2.4637e-05	2.1031e-05	2.0719e-01	2.1738e-05	1.1837e-05	8.6899e-13	2.5909e-11	2.5833e-10	1.7132e-10	
1.2628e-05	1.0732e+03	7.4227e-01	2.6751e-02	2.1901e-02	1.3750e-09	2.5066e-05	2.1084e-05	2.0900e-01	2.1730e-05	1.1922e-05	9.0104e-13	2.5717e-11	2.5679e-10	1.7005e-10	
1.3018e-05	1.0732e+03	7.4050e-01	2.7140e-02	2.1525e-02	1.3704e-09	2.5486e-05	2.1133e-05	2.1075e-01	2.1719e-05	1.2005e-05	9.3315e-13	2.5532e-11	2.5530e-10	1.6882e-10	
1.3409e-05	1.0732e+03	7.3878e-01	2.7523e-02	2.1165e-02	1.3658e-09	2.5897e-05	2.1177e-05	2.1245e-01	2.1707e-05	1.2087e-05	9.6532e-13	2.5354e-11	2.5388e-10	1.6765e-10	
1.4138e-05	1.0732e+03	7.3568e-01	2.8220e-02	2.0530e-02	1.3576e-09	2.6643e-05	2.1249e-05	2.1549e-01	2.1681e-05	1.2236e-05	1.0255e-12	2.5039e-11	2.5136e-10	1.6556e-10	
1.4867e-05	1.0732e+03	7.3271e-01	2.8896e-02	1.9940e-02	1.3497e-09	2.7362e-05	2.1310e-05	2.1837e-01	2.1649e-05	1.2382e-05	1.0858e-12	2.4745e-11	2.4900e-10	1.6360e-10	
1.5596e-05	1.0732e+03	7.2986e-01	2.9553e-02	1.9390e-02	1.3421e-09	2.8056e-05	2.1360e-05	2.2111e-01	2.1614e-05	1.2525e-05	1.1463e-12	2.4469e-11	2.4679e-10	1.6176e-10	
1.6325e-05	1.0732e+03	7.2713e-01	3.0191e-02	1.8875e-02	1.3347e-09	2.8727e-05	2.1401e-05	2.2372e-01	2.1576e-05	1.2664e-05	1.2068e-12	2.4210e-11	2.4472e-10	1.6003e-10	
1.7507e-05	1.0732e+03	7.2292e-01	3.1191e-02	1.8107e-02	1.3233e-09	2.9770e-05	2.1451e-05	2.2770e-01	2.1508e-05	1.2883e-05	1.3051e-12	2.3820e-11	2.4160e-10	1.5741e-10	
1.8689e-05	1.0732e+03	7.1895e-01	3.2150e-02	1.7411e-02	1.3125e-09	3.0761e-05	2.1484e-05	2.3140e-01	2.1434e-05	1.3095e-05	1.4034e-12	2.3464e-11	2.3876e-10	1.5500e-10	
1.9872e-05	1.0732e+03	7.1520e-01	3.3073e-02	1.6776e-02	1.3022e-09	3.1704e-05	2.1502e-05	2.3486e-01	2.1357e-05	1.3299e-05	1.5019e-12	2.3138e-11	2.3614e-10	1.5278e-10	
2.1054e-05	1.0732e+03	7.1164e-01	3.3961e-02	1.6194e-02	1.2924e-09	3.2605e-05	2.1508e-05	2.3811e-01	2.1276e-05	1.3498e-05	1.6002e-12	2.2837e-11	2.3373e-10	1.5072e-10	
2.2237e-05	1.0732e+03	7.0826e-01	3.4819e-02	1.5659e-02	1.2830e-09	3.3466e-05	2.1505e-05	2.4117e-01	2.1193e-05	1.3690e-05	1.6986e-12	2.2558e-11	2.3149e-10	1.4880e-10	
2.3419e-05	1.0732e+03	7.0503e-01	3.5648e-02	1.5165e-02	1.2739e-09	3.4291e-05	2.1493e-05	2.4406e-01	2.1109e-05	1.3877e-05	1.7968e-12	2.2299e-11	2.2941e-10	1.4700e-10	
2.4601e-05	1.0732e+03	7.0195e-01	3.6451e-02	1.4706e-02	1.2653e-09	3.5082e-05	2.1475e-05	2.4680e-01	2.1024e-05	1.4059e-05	1.8948e-12	2.2058e-11	2.2747e-10	1.4532e-10	
2.5784e-05	1.0732e+03	6.9900e-01	3.7229e-02	1.4280e-02	1.2569e-09	3.5842e-05	2.1450e-05	2.4940e-01	2.0938e-05	1.4236e-05	1.9927e-12	2.1832e-11	2.2565e-10	1.4374e-10	
2.6966e-05	1.0732e+03	6.9617e-01	3.7984e-02	1.3881e-02	1.2488e-09	3.6573e-05	2.1419e-05	2.5187e-01	2.0851e-05	1.4408e-05	2.0904e-12	2.1620e-11	2.2394e-10	1.4224e-10	
2.8149e-05	1.0732e+03	6.9345e-01	3.8718e-02	1.3509e-02	1.2410e-09	3.7276e-05	2.1385e-05	2.5423e-01	2.0765e-05	1.4577e-05	2.1879e-12	2.1422e-11	2.2233e-10	1.4083e-10	
2.9331e-05	1.0732e+03	6.9083e-01	3.9431e-02	1.3159e-02	1.2335e-09	3.7954e-05	2.1347e-05	2.5648e-01	2.0678e-05	1.4741e-05	2.2852e-12	2.1234e-11	2.2080e-10	1.3949e-10	
3.0514e-05	1.0732e+03	6.8831e-01	4.0126e-02	1.2831e-02	1.2262e-09	3.8608e-05	2.1305e-05	2.5864e-01	2.0592e-05	1.4901e-05	2.3821e-12	2.1058e-11	2.1936e-10	1.3821e-10	
3.1696e-05	1.0732e+03	6.8588e-01	4.0803e-02	1.2521e-02	1.2191e-09	3.9240e-05	2.1261e-05	2.6070e-01	2.0506e-05	1.5059e-05	2.4789e-12	2.0891e-11	2.1799e-10	1.3700e-10	
3.2878e-05	1.0732e+03	6.8353e-01	4.1464e-02	1.2228e-02	1.2123e-09	3.9850e-05	2.1214e-05	2.6268e-01	2.0421e-05	1.5212e-05	2.5753e-12	2.0732e-11	2.1669e-10	1.3584e-10	
3.4061e-05	1.0732e+03	6.8125e-01	4.2108e-02	1.1951e-02	1.2056e-09	4.0441e-05	2.1165e-05	2.6459e-01	2.0336e-05	1.5363e-05	2.6715e-12	2.0582e-11	2.1545e-10	1.3474e-10	
3.5243e-05	1.0732e+03	6.7905e-01	4.2738e-02	1.1688e-02	1.1991e-09	4.1012e-05	2.1115e-05	2.6642e-01	2.0252e-05	1.5510e-05	2.7673e-12	2.0439e-11	2.1427e-10	1.3368e-10	
3.6426e-05	1.0732e+03	6.7692e-01	4.3353e-02	1.1439e-02	1.1928e-09	4.1566e-05	2.1063e-05	2.6819e-01	2.0169e-05	1.5655e-05	2.8629e-12	2.0303e-11	2.1314e-10	1.3266e-10	
3.8459e-05	1.0732e+03	6.7340e-01	4.4379e-02	1.1038e-02	1.1823e-09	4.2478e-05	2.0970e-05	2.7108e-01	2.0027e-05	1.5897e-05	3.0265e-12	2.0085e-11	2.1131e-10	1.3101e-10	
4.0493e-05	1.0732e+03	6.7005e-01	4.5369e-02	1.0669e-02	1.1722e-09	4.3345e-05	2.0874e-05	2.7381e-01	1.9887e-05	1.6132e-05	3.1892e-12	1.9882e-11	2.0961e-10	1.2947e-10	
4.2527e-05	1.0732e+03	6.6685e-01	4.6324e-02	1.0327e-02	1.1626e-09	4.4168e-05	2.0776e-05	2.7639e-01	1.9750e-05	1.6360e-05	3.3509e-12	1.9695e-11	2.0801e-10	1.2802e-10	
4.4561e-05	1.0732e+03	6.6380e-01	4.7248e-02	1.0010e-02	1.1533e-09	4.4953e-05	2.0677e-05	2.7884e-01	1.9616e-05	1.6581e-05	3.5116e-12	1.9521e-11	2.0652e-10	1.2665e-10	
4.6595e-05	1.0732e+03	6.6088e-01	4.8142e-02	9.7155e-03	1.1443e-09	4.5702e-05	2.0577e-05	2.8116e-01	1.9484e-05	1.6796e-05	3.6713e-12	1.9359e-11	2.0511e-10	1.2537e-10	
4.8629e-05	1.0732e+03	6.5807e-01	4.9008e-02	9.4400e-03	1.1357e-09	4.6416e-05	2.0476e-05	2.8337e-01	1.9354e-05	1.7005e-05	3.8299e-12	1.9208e-11	2.0379e-10	1.2415e-10	
5.0662e-05	1.0732e+03	6.5538e-01	4.9849e-02	9.1819e-03	1.1273e-09	4.7099e-05	2.0375e-05	2.8548e-01	1.9227e-05	1.7209e-05	3.9876e-12	1.9066e-11	2.0253e-10	1.2299e-10	
5.2696e-05	1.0732e+03	6.5279e-01	5.0666e-02	8.9397e-03	1.1192e-09	4.7752e-05	2.0273e-05	2.8750e-01	1.9102e-05	1.7409e-05	4.1443e-12	1.8933e-11	2.0134e-10	1.2189e-10	
5.4730e-05	1.0732e+03	6.5030e-01	5.1460e-02	8.7122e-03	1.1114e-09	4.8378e-05	2.0172e-05	2.8943e-01	1.8980e-05	1.7602e-05	4.2999e-12	1.8809e-11	2.0021e-10	1.2085e-10	
5.6764e-05	1.0732e+03	6.4789e-01	5.2232e-02	8.4976e-03	1.1038e-09	4.8979e-05	2.0071e-05	2.9128e-01	1.8860e-05	1.7792e-05	4.4546e-12	1.8692e-11	1.9914e-10	1.1985e-10	
5.8798e-05	1.0732e+03	6.4557e-01	5.2984e-02	8.2946e-03	1.0965e-09	4.9554e-05	1.9970e-05	2.9305e-01	1.8742e-05	1.7977e-05	4.6082e-12	1.8581e-11	1.9811e-10	1.1889e-10	
6.0278e-05	1.0732e+03	6.4392e-01	5.3520e-02	8.1538e-03	1.0912e-09	4.9959e-05	1.9897e-05	2.9430e-01	1.8657e-05	1.8110e-05	4.7194e-12	1.8505e-11	1.9739e-10	1.1823e-10	
6.1757e-05	1.0732e+03	6.4232e-01	5.4045e-02	8.0184e-03	1.0861e-09	5.0352e-05	1.9824e-05	2.9551e-01	1.8574e-05	1.8240e-05	4.8300e-12	1.8431e-11	1.9670e-10	1.1758e-10	
6.3237e-05	1.0732e+03	6.4075e-01	5.4561e-02	7.8882e-03	1.0811e-09	5.0733e-05	1.9752e-05	2.9669e-01	1.8492e-05	1.8368e-05	4.9401e-12	1.8361e-11	1.9603e-10	1.1695e-10	
6.4717e-05	1.0732e+03	6.3922e-01	5.5069e-02	7.7626e-03	1.0762e-09	5.1104e-05	1.9680e-05	2.9784e-01	1.8411e-05	1.8495e-05	5.0497e-12	1.8293e-11	1.9537e-10	1.1634e-10	
6.6197e-05	1.0732e+03	6.3773e-01	5.5567e-02	7.6416e-03	1.0713e-09	5.1465e-05	1.9608e-05	2.9896e-01	1.8331e-05	1.8619e-05	5.1587e-12	1.8228e-11	1.9474e-10	1.1575e-10	
6.7677e-05	1.0732e+03	6.3627e-01	5.6057e-02	7.5250e-03	1.0666e-09	5.1816e-05	1.9537e-05	3.0004e-01	1.8252e-05	1.8742e-05	5.2672e-12	1.8166e-11	1.9412e-10	1.1517e-10	
6.9157e-05	1.0732e+03	6.3483e-01	5.6539e-02	7.4123e-03	1.0619e-09	5.2158e-05	1.9467e-05	3.0111e-01	1.8174e-05	1.8862e-05	5.3753e-12	1.8106e-11	1.9352e-10	1.1461e-10	
