         z	         T	      (NI)	     H(NI)	     O(NI)	   CH4(NI)	   H2O(NI)	   CO2(NI)	    CO(NI)	    OH(NI)	     C(NI)	   HCO(NI)	    CH(NI)	   CH3(NI)	   CH2(NI)	
2.9433e-08	1.0732e+03	9.1040e-01	2.8506e-03	8.2459e-02	1.7624e-09	1.7876e-07	3.7626e-06	4.2735e-03	7.1073e-06	8.1613e-06	5.1096e-16	5.2718e-11	4.7770e-10	3.4241e-10	
3.2827e-08	1.0732e+03	9.1120e-01	2.9199e-03	8.1099e-02	1.7639e-09	1.9821e-07	3.7982e-06	4.7605e-03	7.1536e-06	8.2296e-06	5.8366e-16	5.2241e-11	4.7349e-10	3.3934e-10	
3.8146e-08	1.0732e+03	9.1218e-01	3.0227e-03	7.9263e-02	1.7657e-09	2.2888e-07	3.8531e-06	5.5194e-03	7.2302e-06	8.3239e-06	7.0214e-16	5.1594e-11	4.6780e-10	3.3517e-10	
4.3464e-08	1.0732e+03	9.1284e-01	3.1183e-03	7.7757e-02	1.7669e-09	2.5962e-07	3.9068e-06	6.2692e-03	7.3118e-06	8.4025e-06	8.2510e-16	5.1060e-11	4.6311e-10	3.3173e-10	
4.8783e-08	1.0732e+03	9.1322e-01	3.2062e-03	7.6550e-02	1.7676e-09	2.9027e-07	3.9598e-06	7.0060e-03	7.3981e-06	8.4655e-06	9.5115e-16	5.0628e-11	4.5934e-10	3.2895e-10	
5.4101e-08	1.0732e+03	9.1335e-01	3.2860e-03	7.5621e-02	1.7678e-09	3.2064e-07	4.0122e-06	7.7258e-03	7.4891e-06	8.5131e-06	1.0788e-15	5.0291e-11	4.5641e-10	3.2678e-10	
5.9420e-08	1.0732e+03	9.1325e-01	3.3573e-03	7.4952e-02	1.7675e-09	3.5057e-07	4.0643e-06	8.4247e-03	7.5848e-06	8.5453e-06	1.2065e-15	5.0043e-11	4.5428e-10	3.2519e-10	
6.4738e-08	1.0732e+03	9.1293e-01	3.4197e-03	7.4533e-02	1.7669e-09	3.7986e-07	4.1163e-06	9.0991e-03	7.6853e-06	8.5621e-06	1.3325e-15	4.9880e-11	4.5292e-10	3.2416e-10	
7.0057e-08	1.0732e+03	9.1240e-01	3.4727e-03	7.4358e-02	1.7658e-09	4.0836e-07	4.1684e-06	9.7453e-03	7.7906e-06	8.5636e-06	1.4551e-15	4.9802e-11	4.5230e-10	3.2367e-10	
7.5375e-08	1.0732e+03	9.1168e-01	3.5158e-03	7.4427e-02	1.7643e-09	4.3587e-07	4.2209e-06	1.0359e-02	7.9009e-06	8.5498e-06	1.5725e-15	4.9807e-11	4.5242e-10	3.2372e-10	
8.0694e-08	1.0732e+03	9.1075e-01	3.5485e-03	7.4742e-02	1.7625e-09	4.6221e-07	4.2738e-06	1.0938e-02	8.0163e-06	8.5205e-06	1.6827e-15	4.9897e-11	4.5331e-10	3.2432e-10	
8.6012e-08	1.0732e+03	9.0962e-01	3.5703e-03	7.5312e-02	1.7602e-09	4.8717e-07	4.3275e-06	1.1476e-02	8.1372e-06	8.4759e-06	1.7838e-15	5.0074e-11	4.5497e-10	3.2548e-10	
9.1331e-08	1.0732e+03	9.0828e-01	3.5806e-03	7.6149e-02	1.7576e-09	5.1056e-07	4.3820e-06	1.1970e-02	8.2637e-06	8.4158e-06	1.8739e-15	5.0344e-11	4.5746e-10	3.2725e-10	
9.6649e-08	1.0732e+03	9.0671e-01	3.5790e-03	7.7273e-02	1.7545e-09	5.3216e-07	4.4375e-06	1.2415e-02	8.3962e-06	8.3403e-06	1.9508e-15	5.0713e-11	4.6082e-10	3.2965e-10	
1.0197e-07	1.0732e+03	9.0490e-01	3.5647e-03	7.8706e-02	1.7509e-09	5.5174e-07	4.4943e-06	1.2807e-02	8.5350e-06	8.2494e-06	2.0128e-15	5.1188e-11	4.6514e-10	3.3275e-10	
1.0729e-07	1.0732e+03	9.0282e-01	3.5373e-03	8.0480e-02	1.7469e-09	5.6905e-07	4.5525e-06	1.3141e-02	8.6802e-06	8.1430e-06	2.0581e-15	5.1781e-11	4.7051e-10	3.3660e-10	
1.1260e-07	1.0732e+03	9.0044e-01	3.4963e-03	8.2629e-02	1.7422e-09	5.8383e-07	4.6122e-06	1.3413e-02	8.8320e-06	8.0216e-06	2.0850e-15	5.2502e-11	4.7702e-10	3.4129e-10	
1.1792e-07	1.0732e+03	8.9773e-01	3.4413e-03	8.5195e-02	1.7370e-09	5.9584e-07	4.6735e-06	1.3616e-02	8.9903e-06	7.8856e-06	2.0922e-15	5.3367e-11	4.8481e-10	3.4690e-10	
1.2324e-07	1.0732e+03	8.9464e-01	3.3722e-03	8.8225e-02	1.7310e-09	6.0478e-07	4.7361e-06	1.3745e-02	9.1546e-06	7.7356e-06	2.0784e-15	5.4392e-11	4.9403e-10	3.5355e-10	
1.2325e-07	1.0732e+03	8.9464e-01	3.3722e-03	8.8225e-02	1.7310e-09	6.0479e-07	4.7361e-06	1.3745e-02	9.1546e-06	7.7356e-06	2.0785e-15	5.4392e-11	4.9403e-10	3.5355e-10	
1.2325e-07	1.0732e+03	8.9464e-01	3.3723e-03	8.8223e-02	1.7310e-09	6.0481e-07	4.7361e-06	1.3746e-02	9.1547e-06	7.7357e-06	2.0786e-15	5.4391e-11	4.9402e-10	3.5355e-10	
1.2325e-07	1.0732e+03	8.9464e-01	3.3723e-03	8.8222e-02	1.7310e-09	6.0483e-07	4.7362e-06	1.3746e-02	9.1547e-06	7.7357e-06	2.0787e-15	5.4391e-11	4.9402e-10	3.5354e-10	
1.2326e-07	1.0732e+03	8.9464e-01	3.3724e-03	8.8221e-02	1.7310e-09	6.0485e-07	4.7362e-06	1.3747e-02	9.1547e-06	7.7358e-06	2.0788e-15	5.4390e-11	4.9401e-10	3.5354e-10	
1.2326e-07	1.0732e+03	8.9464e-01	3.3725e-03	8.8219e-02	1.7310e-09	6.0487e-07	4.7362e-06	1.3747e-02	9.1547e-06	7.7359e-06	2.0790e-15	5.4390e-11	4.9401e-10	3.5354e-10	
1.2327e-07	1.0732e+03	8.9464e-01	3.3726e-03	8.8217e-02	1.7310e-09	6.0489e-07	4.7362e-06	1.3748e-02	9.1547e-06	7.7360e-06	2.0791e-15	5.4389e-11	4.9400e-10	3.5353e-10	
1.2327e-07	1.0732e+03	8.9464e-01	3.3727e-03	8.8214e-02	1.7310e-09	6.0493e-07	4.7363e-06	1.3749e-02	9.1547e-06	7.7361e-06	2.0793e-15	5.4388e-11	4.9399e-10	3.5353e-10	
1.2329e-07	1.0732e+03	8.9465e-01	3.3729e-03	8.8208e-02	1.7310e-09	6.0500e-07	4.7363e-06	1.3750e-02	9.1548e-06	7.7364e-06	2.0797e-15	5.4386e-11	4.9398e-10	3.5351e-10	
1.2331e-07	1.0732e+03	8.9465e-01	3.3733e-03	8.8199e-02	1.7310e-09	6.0512e-07	4.7365e-06	1.3753e-02	9.1548e-06	7.7368e-06	2.0804e-15	5.4383e-11	4.9395e-10	3.5349e-10	
1.2336e-07	1.0732e+03	8.9467e-01	3.3742e-03	8.8179e-02	1.7310e-09	6.0537e-07	4.7368e-06	1.3759e-02	9.1549e-06	7.7377e-06	2.0818e-15	5.4376e-11	4.9388e-10	3.5345e-10	
1.2367e-07	1.0732e+03	8.9474e-01	3.3793e-03	8.8061e-02	1.7312e-09	6.0685e-07	4.7384e-06	1.3793e-02	9.1558e-06	7.7428e-06	2.0903e-15	5.4335e-11	4.9352e-10	3.5318e-10	
1.2448e-07	1.0732e+03	8.9494e-01	3.3926e-03	8.7759e-02	1.7316e-09	6.1074e-07	4.7429e-06	1.3882e-02	9.1582e-06	7.7560e-06	2.1126e-15	5.4229e-11	4.9259e-10	3.5250e-10	
1.2529e-07	1.0732e+03	8.9514e-01	3.4058e-03	8.7462e-02	1.7319e-09	6.1462e-07	4.7474e-06	1.3970e-02	9.1607e-06	7.7690e-06	2.1349e-15	5.4126e-11	4.9167e-10	3.5183e-10	
1.2610e-07	1.0732e+03	8.9533e-01	3.4188e-03	8.7175e-02	1.7323e-09	6.1851e-07	4.7519e-06	1.4059e-02	9.1635e-06	7.7817e-06	2.1572e-15	5.4026e-11	4.9078e-10	3.5119e-10	
1.2761e-07	1.0732e+03	8.9566e-01	3.4428e-03	8.6654e-02	1.7329e-09	6.2581e-07	4.7605e-06	1.4225e-02	9.1692e-06	7.8047e-06	2.1991e-15	5.3844e-11	4.8917e-10	3.5001e-10	
1.3067e-07	1.0732e+03	8.9626e-01	3.4896e-03	8.5675e-02	1.7340e-09	6.4049e-07	4.7784e-06	1.4556e-02	9.1827e-06	7.8485e-06	2.2835e-15	5.3502e-11	4.8614e-10	3.4780e-10	
1.3372e-07	1.0732e+03	8.9677e-01	3.5344e-03	8.4784e-02	1.7350e-09	6.5518e-07	4.7969e-06	1.4886e-02	9.1987e-06	7.8888e-06	2.3680e-15	5.3190e-11	4.8338e-10	3.4579e-10	
1.3677e-07	1.0732e+03	8.9721e-01	3.5773e-03	8.3977e-02	1.7358e-09	6.6986e-07	4.8160e-06	1.5213e-02	9.2172e-06	7.9255e-06	2.4525e-15	5.2906e-11	4.8087e-10	3.4395e-10	
1.4031e-07	1.0732e+03	8.9765e-01	3.6252e-03	8.3117e-02	1.7366e-09	6.8688e-07	4.8387e-06	1.5589e-02	9.2406e-06	7.9651e-06	2.5508e-15	5.2603e-11	4.7820e-10	3.4200e-10	
1.4385e-07	1.0732e+03	8.9800e-01	3.6709e-03	8.2347e-02	1.7373e-09	7.0390e-07	4.8621e-06	1.5962e-02	9.2668e-06	8.0006e-06	2.6491e-15	5.2330e-11	4.7580e-10	3.4024e-10	
1.4739e-07	1.0732e+03	8.9828e-01	3.7149e-03	8.1646e-02	1.7378e-09	7.2090e-07	4.8860e-06	1.6332e-02	9.2949e-06	8.0330e-06	2.7477e-15	5.2081e-11	4.7361e-10	3.3864e-10	
1.5315e-07	1.0732e+03	8.9862e-01	3.7829e-03	8.0641e-02	1.7384e-09	7.4860e-07	4.9261e-06	1.6930e-02	9.3449e-06	8.0796e-06	2.9088e-15	5.1722e-11	4.7046e-10	3.3632e-10	
1.5892e-07	1.0732e+03	8.9884e-01	3.8471e-03	7.9770e-02	1.7387e-09	7.7626e-07	4.9672e-06	1.7520e-02	9.3987e-06	8.1197e-06	3.0706e-15	5.1409e-11	4.6772e-10	3.3430e-10	
1.6469e-07	1.0732e+03	8.9895e-01	3.9078e-03	7.9019e-02	1.7389e-09	8.0387e-07	5.0094e-06	1.8105e-02	9.4560e-06	8.1540e-06	3.2331e-15	5.1136e-11	4.6534e-10	3.3255e-10	
1.7045e-07	1.0732e+03	8.9897e-01	3.9655e-03	7.8363e-02	1.7389e-09	8.3144e-07	5.0523e-06	1.8682e-02	9.5159e-06	8.1834e-06	3.3963e-15	5.0896e-11	4.6326e-10	3.3101e-10	
1.7622e-07	1.0732e+03	8.9892e-01	4.0207e-03	7.7786e-02	1.7387e-09	8.5896e-07	5.0959e-06	1.9254e-02	9.5778e-06	8.2088e-06	3.5604e-15	5.0683e-11	4.6142e-10	3.2964e-10	
1.8199e-07	1.0732e+03	8.9881e-01	4.0737e-03	7.7275e-02	1.7384e-09	8.8642e-07	5.1400e-06	1.9820e-02	9.6413e-06	8.2307e-06	3.7255e-15	5.0493e-11	4.5978e-10	3.2842e-10	
1.8775e-07	1.0732e+03	8.9865e-01	4.1246e-03	7.6819e-02	1.7381e-09	9.1382e-07	5.1846e-06	2.0381e-02	9.7060e-06	8.2497e-06	3.8915e-15	5.0322e-11	4.5830e-10	3.2732e-10	
1.9647e-07	1.0732e+03	8.9834e-01	4.1984e-03	7.6218e-02	1.7374e-09	9.5514e-07	5.2526e-06	2.1218e-02	9.8057e-06	8.2736e-06	4.1444e-15	5.0093e-11	4.5635e-10	3.2586e-10	
2.0519e-07	1.0732e+03	8.9796e-01	4.2688e-03	7.5698e-02	1.7366e-09	9.9631e-07	5.3211e-06	2.2043e-02	9.9064e-06	8.2931e-06	4.3998e-15	4.9891e-11	4.5464e-10	3.2458e-10	
2.1391e-07	1.0732e+03	8.9753e-01	4.3364e-03	7.5248e-02	1.7356e-09	1.0373e-06	5.3901e-06	2.2857e-02	1.0008e-05	8.3088e-06	4.6577e-15	4.9714e-11	4.5314e-10	3.2344e-10	
