         z	         T	         p	         u	       rho	       CH4	       H2O	        H2	        CO	       CO2	        O2	        N2	
6.4738e-08	1.0732e+03	1.0000e+05	1.0002e-01	3.2518e-01	2.4988e-01	1.3474e-04	2.8008e-05	2.9748e-04	2.4974e-01	4.4698e-17	4.9992e-01	
7.0057e-08	1.0732e+03	1.0000e+05	1.0002e-01	3.2518e-01	2.4987e-01	1.4566e-04	2.8997e-05	3.2032e-04	2.4972e-01	4.6007e-17	4.9991e-01	
7.5375e-08	1.0732e+03	1.0000e+05	1.0002e-01	3.2518e-01	2.4986e-01	1.5627e-04	2.9742e-05	3.4229e-04	2.4970e-01	4.7321e-17	4.9991e-01	
8.0694e-08	1.0732e+03	1.0000e+05	1.0002e-01	3.2517e-01	2.4985e-01	1.6650e-04	3.0225e-05	3.6323e-04	2.4969e-01	4.8689e-17	4.9990e-01	
8.6012e-08	1.0732e+03	1.0000e+05	1.0002e-01	3.2517e-01	2.4984e-01	1.7628e-04	3.0428e-05	3.8300e-04	2.4967e-01	5.0156e-17	4.9990e-01	
9.1331e-08	1.0732e+03	1.0000e+05	1.0002e-01	3.2517e-01	2.4984e-01	1.8553e-04	3.0331e-05	4.0141e-04	2.4965e-01	5.1766e-17	4.9989e-01	
9.6649e-08	1.0732e+03	1.0000e+05	1.0002e-01	3.2516e-01	2.4983e-01	1.9419e-04	2.9913e-05	4.1830e-04	2.4964e-01	5.3569e-17	4.9989e-01	
1.0197e-07	1.0732e+03	1.0000e+05	1.0002e-01	3.2516e-01	2.4983e-01	2.0217e-04	2.9152e-05	4.3349e-04	2.4962e-01	5.5621e-17	4.9988e-01	
1.0729e-07	1.0732e+03	1.0000e+05	1.0002e-01	3.2516e-01	2.4982e-01	2.0939e-04	2.8025e-05	4.4681e-04	2.4961e-01	5.7985e-17	4.9988e-01	
1.1260e-07	1.0732e+03	1.0000e+05	1.0002e-01	3.2516e-01	2.4982e-01	2.1577e-04	2.6513e-05	4.5805e-04	2.4960e-01	6.0719e-17	4.9988e-01	
1.1792e-07	1.0732e+03	1.0000e+05	1.0002e-01	3.2516e-01	2.4982e-01	2.2120e-04	2.4597e-05	4.6701e-04	2.4959e-01	6.3879e-17	4.9988e-01	
1.2324e-07	1.0732e+03	1.0000e+05	1.0002e-01	3.2516e-01	2.4981e-01	2.2559e-04	2.2259e-05	4.7346e-04	2.4959e-01	6.7539e-17	4.9988e-01	
1.2325e-07	1.0732e+03	1.0000e+05	1.0002e-01	3.2516e-01	2.4981e-01	2.2560e-04	2.2259e-05	4.7347e-04	2.4959e-01	6.7545e-17	4.9988e-01	
1.2325e-07	1.0732e+03	1.0000e+05	1.0002e-01	3.2516e-01	2.4981e-01	2.2560e-04	2.2261e-05	4.7349e-04	2.4959e-01	6.7547e-17	4.9988e-01	
1.2325e-07	1.0732e+03	1.0000e+05	1.0002e-01	3.2516e-01	2.4981e-01	2.2561e-04	2.2262e-05	4.7350e-04	2.4959e-01	6.7549e-17	4.9988e-01	
1.2326e-07	1.0732e+03	1.0000e+05	1.0002e-01	3.2516e-01	2.4981e-01	2.2562e-04	2.2264e-05	4.7352e-04	2.4959e-01	6.7550e-17	4.9988e-01	
1.2326e-07	1.0732e+03	1.0000e+05	1.0002e-01	3.2516e-01	2.4981e-01	2.2563e-04	2.2266e-05	4.7354e-04	2.4959e-01	6.7551e-17	4.9988e-01	
1.2327e-07	1.0732e+03	1.0000e+05	1.0002e-01	3.2516e-01	2.4981e-01	2.2563e-04	2.2268e-05	4.7355e-04	2.4959e-01	6.7553e-17	4.9988e-01	
1.2327e-07	1.0732e+03	1.0000e+05	1.0002e-01	3.2516e-01	2.4981e-01	2.2565e-04	2.2272e-05	4.7359e-04	2.4959e-01	6.7556e-17	4.9988e-01	
1.2329e-07	1.0732e+03	1.0000e+05	1.0002e-01	3.2516e-01	2.4981e-01	2.2567e-04	2.2278e-05	4.7364e-04	2.4959e-01	6.7561e-17	4.9988e-01	
1.2331e-07	1.0732e+03	1.0000e+05	1.0002e-01	3.2516e-01	2.4981e-01	2.2572e-04	2.2288e-05	4.7374e-04	2.4959e-01	6.7570e-17	4.9988e-01	
1.2336e-07	1.0732e+03	1.0000e+05	1.0002e-01	3.2516e-01	2.4981e-01	2.2581e-04	2.2311e-05	4.7395e-04	2.4959e-01	6.7590e-17	4.9988e-01	
1.2367e-07	1.0732e+03	1.0000e+05	1.0002e-01	3.2516e-01	2.4981e-01	2.2636e-04	2.2444e-05	4.7518e-04	2.4959e-01	6.7703e-17	4.9988e-01	
1.2448e-07	1.0732e+03	1.0000e+05	1.0003e-01	3.2516e-01	2.4981e-01	2.2780e-04	2.2788e-05	4.7841e-04	2.4958e-01	6.7992e-17	4.9987e-01	
1.2529e-07	1.0732e+03	1.0000e+05	1.0003e-01	3.2516e-01	2.4981e-01	2.2925e-04	2.3129e-05	4.8164e-04	2.4958e-01	6.8274e-17	4.9987e-01	
1.2610e-07	1.0732e+03	1.0000e+05	1.0003e-01	3.2516e-01	2.4981e-01	2.3070e-04	2.3463e-05	4.8487e-04	2.4958e-01	6.8543e-17	4.9987e-01	
1.2761e-07	1.0732e+03	1.0000e+05	1.0003e-01	3.2515e-01	2.4981e-01	2.3342e-04	2.4080e-05	4.9093e-04	2.4957e-01	6.9024e-17	4.9987e-01	
1.3067e-07	1.0732e+03	1.0000e+05	1.0003e-01	3.2515e-01	2.4980e-01	2.3891e-04	2.5276e-05	5.0311e-04	2.4956e-01	6.9899e-17	4.9987e-01	
1.3372e-07	1.0732e+03	1.0000e+05	1.0003e-01	3.2515e-01	2.4980e-01	2.4442e-04	2.6415e-05	5.1527e-04	2.4955e-01	7.0656e-17	4.9986e-01	
1.3677e-07	1.0732e+03	1.0000e+05	1.0003e-01	3.2515e-01	2.4979e-01	2.4995e-04	2.7497e-05	5.2742e-04	2.4954e-01	7.1297e-17	4.9986e-01	
1.4031e-07	1.0732e+03	1.0000e+05	1.0003e-01	3.2515e-01	2.4979e-01	2.5638e-04	2.8701e-05	5.4147e-04	2.4953e-01	7.1947e-17	4.9986e-01	
1.4385e-07	1.0732e+03	1.0000e+05	1.0003e-01	3.2514e-01	2.4978e-01	2.6283e-04	2.9842e-05	5.5551e-04	2.4952e-01	7.2470e-17	4.9985e-01	
1.4739e-07	1.0732e+03	1.0000e+05	1.0003e-01	3.2514e-01	2.4977e-01	2.6929e-04	3.0935e-05	5.6953e-04	2.4951e-01	7.2903e-17	4.9985e-01	
1.5315e-07	1.0732e+03	1.0000e+05	1.0003e-01	3.2514e-01	2.4977e-01	2.7985e-04	3.2615e-05	5.9233e-04	2.4949e-01	7.3425e-17	4.9984e-01	
1.5892e-07	1.0732e+03	1.0000e+05	1.0003e-01	3.2513e-01	2.4976e-01	2.9043e-04	3.4198e-05	6.1509e-04	2.4947e-01	7.3778e-17	4.9984e-01	
1.6469e-07	1.0732e+03	1.0000e+05	1.0003e-01	3.2513e-01	2.4975e-01	3.0104e-04	3.5688e-05	6.3779e-04	2.4945e-01	7.3974e-17	4.9983e-01	
1.7045e-07	1.0732e+03	1.0000e+05	1.0003e-01	3.2512e-01	2.4974e-01	3.1166e-04	3.7105e-05	6.6045e-04	2.4943e-01	7.4051e-17	4.9983e-01	
1.7622e-07	1.0732e+03	1.0000e+05	1.0004e-01	3.2512e-01	2.4973e-01	3.2229e-04	3.8459e-05	6.8306e-04	2.4941e-01	7.4035e-17	4.9982e-01	
1.8199e-07	1.0732e+03	1.0000e+05	1.0004e-01	3.2512e-01	2.4972e-01	3.3293e-04	3.9759e-05	7.0563e-04	2.4939e-01	7.3945e-17	4.9981e-01	
1.8775e-07	1.0732e+03	1.0000e+05	1.0004e-01	3.2511e-01	2.4971e-01	3.4356e-04	4.1014e-05	7.2815e-04	2.4937e-01	7.3796e-17	4.9981e-01	
1.9647e-07	1.0732e+03	1.0000e+05	1.0004e-01	3.2511e-01	2.4970e-01	3.5964e-04	4.2836e-05	7.6213e-04	2.4934e-01	7.3481e-17	4.9980e-01	
2.0519e-07	1.0732e+03	1.0000e+05	1.0004e-01	3.2510e-01	2.4968e-01	3.7570e-04	4.4590e-05	7.9600e-04	2.4931e-01	7.3101e-17	4.9979e-01	
2.1391e-07	1.0732e+03	1.0000e+05	1.0004e-01	3.2510e-01	2.4967e-01	3.9174e-04	4.6282e-05	8.2978e-04	2.4928e-01	7.2665e-17	4.9978e-01	
