         z	         T	         p	         u	       rho	       CH4	       H2O	        H2	        CO	       CO2	        O2	        N2	
5.8304e-06	1.0732e+03	1.0000e+05	1.0082e-01	3.2258e-01	2.4388e-01	6.9884e-03	1.1709e-03	1.5148e-02	2.3689e-01	1.7417e-17	4.9592e-01	
5.9362e-06	1.0732e+03	1.0000e+05	1.0083e-01	3.2255e-01	2.4380e-01	7.0780e-03	1.1945e-03	1.5350e-02	2.3672e-01	1.7191e-17	4.9586e-01	
6.0420e-06	1.0732e+03	1.0000e+05	1.0085e-01	3.2251e-01	2.4371e-01	7.1669e-03	1.2182e-03	1.5552e-02	2.3654e-01	1.6915e-17	4.9581e-01	
6.1478e-06	1.0732e+03	1.0000e+05	1.0086e-01	3.2247e-01	2.4363e-01	7.2551e-03	1.2419e-03	1.5752e-02	2.3637e-01	1.6630e-17	4.9575e-01	
6.2536e-06	1.0732e+03	1.0000e+05	1.0087e-01	3.2244e-01	2.4354e-01	7.3426e-03	1.2657e-03	1.5951e-02	2.3620e-01	1.6416e-17	4.9570e-01	
6.3594e-06	1.0732e+03	1.0000e+05	1.0088e-01	3.2240e-01	2.4346e-01	7.4295e-03	1.2895e-03	1.6149e-02	2.3603e-01	1.6287e-17	4.9564e-01	
6.4652e-06	1.0732e+03	1.0000e+05	1.0089e-01	3.2237e-01	2.4338e-01	7.5157e-03	1.3134e-03	1.6345e-02	2.3586e-01	1.6016e-17	4.9559e-01	
6.5710e-06	1.0732e+03	1.0000e+05	1.0090e-01	3.2233e-01	2.4330e-01	7.6013e-03	1.3373e-03	1.6540e-02	2.3569e-01	1.5659e-17	4.9553e-01	
6.6768e-06	1.0732e+03	1.0000e+05	1.0091e-01	3.2230e-01	2.4321e-01	7.6863e-03	1.3613e-03	1.6734e-02	2.3553e-01	1.5510e-17	4.9548e-01	
6.7826e-06	1.0732e+03	1.0000e+05	1.0092e-01	3.2226e-01	2.4313e-01	7.7706e-03	1.3853e-03	1.6927e-02	2.3536e-01	1.5450e-17	4.9542e-01	
6.8884e-06	1.0732e+03	1.0000e+05	1.0094e-01	3.2222e-01	2.4305e-01	7.8543e-03	1.4094e-03	1.7118e-02	2.3520e-01	1.5154e-17	4.9537e-01	
6.9942e-06	1.0732e+03	1.0000e+05	1.0095e-01	3.2219e-01	2.4297e-01	7.9375e-03	1.4335e-03	1.7308e-02	2.3503e-01	1.4800e-17	4.9531e-01	
7.1000e-06	1.0732e+03	1.0000e+05	1.0096e-01	3.2216e-01	2.4289e-01	8.0200e-03	1.4576e-03	1.7498e-02	2.3487e-01	1.4643e-17	4.9526e-01	
7.2058e-06	1.0732e+03	1.0000e+05	1.0097e-01	3.2212e-01	2.4281e-01	8.1020e-03	1.4818e-03	1.7686e-02	2.3471e-01	1.4509e-17	4.9521e-01	
7.3115e-06	1.0732e+03	1.0000e+05	1.0098e-01	3.2209e-01	2.4273e-01	8.1834e-03	1.5060e-03	1.7873e-02	2.3455e-01	1.4415e-17	4.9516e-01	
7.4173e-06	1.0732e+03	1.0000e+05	1.0099e-01	3.2205e-01	2.4265e-01	8.2643e-03	1.5303e-03	1.8059e-02	2.3439e-01	1.4204e-17	4.9510e-01	
7.5231e-06	1.0732e+03	1.0000e+05	1.0100e-01	3.2202e-01	2.4258e-01	8.3446e-03	1.5546e-03	1.8244e-02	2.3423e-01	1.3891e-17	4.9505e-01	
7.6289e-06	1.0732e+03	1.0000e+05	1.0101e-01	3.2198e-01	2.4250e-01	8.4244e-03	1.5790e-03	1.8428e-02	2.3407e-01	1.3777e-17	4.9500e-01	
7.7347e-06	1.0732e+03	1.0000e+05	1.0102e-01	3.2195e-01	2.4242e-01	8.5036e-03	1.6034e-03	1.8611e-02	2.3392e-01	1.3799e-17	4.9495e-01	
7.8405e-06	1.0732e+03	1.0000e+05	1.0103e-01	3.2192e-01	2.4234e-01	8.5824e-03	1.6278e-03	1.8793e-02	2.3376e-01	1.3539e-17	4.9489e-01	
7.9463e-06	1.0732e+03	1.0000e+05	1.0104e-01	3.2188e-01	2.4227e-01	8.6606e-03	1.6523e-03	1.8974e-02	2.3360e-01	1.3125e-17	4.9484e-01	
8.0521e-06	1.0732e+03	1.0000e+05	1.0105e-01	3.2185e-01	2.4219e-01	8.7383e-03	1.6768e-03	1.9153e-02	2.3345e-01	1.3098e-17	4.9479e-01	
8.1579e-06	1.0732e+03	1.0000e+05	1.0106e-01	3.2182e-01	2.4211e-01	8.8155e-03	1.7014e-03	1.9332e-02	2.3330e-01	1.3263e-17	4.9474e-01	
8.2637e-06	1.0732e+03	1.0000e+05	1.0107e-01	3.2178e-01	2.4204e-01	8.8923e-03	1.7260e-03	1.9511e-02	2.3314e-01	1.2939e-17	4.9469e-01	
8.3695e-06	1.0732e+03	1.0000e+05	1.0108e-01	3.2175e-01	2.4196e-01	8.9686e-03	1.7506e-03	1.9688e-02	2.3299e-01	1.2393e-17	4.9464e-01	
8.4753e-06	1.0732e+03	1.0000e+05	1.0109e-01	3.2172e-01	2.4189e-01	9.0444e-03	1.7752e-03	1.9864e-02	2.3284e-01	1.2468e-17	4.9459e-01	
8.5811e-06	1.0732e+03	1.0000e+05	1.0110e-01	3.2169e-01	2.4181e-01	9.1197e-03	1.7999e-03	2.0039e-02	2.3269e-01	1.2815e-17	4.9454e-01	
8.6869e-06	1.0732e+03	1.0000e+05	1.0111e-01	3.2165e-01	2.4174e-01	9.1945e-03	1.8247e-03	2.0214e-02	2.3254e-01	1.2400e-17	4.9449e-01	
8.7927e-06	1.0732e+03	1.0000e+05	1.0112e-01	3.2162e-01	2.4166e-01	9.2690e-03	1.8494e-03	2.0387e-02	2.3239e-01	1.1665e-17	4.9444e-01	
8.8706e-06	1.0732e+03	1.0000e+05	1.0113e-01	3.2160e-01	2.4161e-01	9.3235e-03	1.8677e-03	2.0515e-02	2.3228e-01	1.1987e-17	4.9440e-01	
8.9485e-06	1.0732e+03	1.0000e+05	1.0114e-01	3.2157e-01	2.4155e-01	9.3778e-03	1.8859e-03	2.0642e-02	2.3217e-01	1.1899e-17	4.9437e-01	
9.0265e-06	1.0732e+03	1.0000e+05	1.0115e-01	3.2155e-01	2.4150e-01	9.4318e-03	1.9042e-03	2.0768e-02	2.3207e-01	1.1770e-17	4.9433e-01	
9.1044e-06	1.0732e+03	1.0000e+05	1.0115e-01	3.2153e-01	2.4144e-01	9.4857e-03	1.9225e-03	2.0894e-02	2.3196e-01	1.1540e-17	4.9430e-01	
9.1823e-06	1.0732e+03	1.0000e+05	1.0116e-01	3.2150e-01	2.4139e-01	9.5393e-03	1.9408e-03	2.1019e-02	2.3185e-01	1.1658e-17	4.9426e-01	
9.2602e-06	1.0732e+03	1.0000e+05	1.0117e-01	3.2148e-01	2.4134e-01	9.5926e-03	1.9592e-03	2.1144e-02	2.3174e-01	1.1707e-17	4.9422e-01	
9.3381e-06	1.0732e+03	1.0000e+05	1.0118e-01	3.2146e-01	2.4128e-01	9.6457e-03	1.9776e-03	2.1269e-02	2.3164e-01	1.1534e-17	4.9419e-01	
9.4161e-06	1.0732e+03	1.0000e+05	1.0118e-01	3.2143e-01	2.4123e-01	9.6987e-03	1.9959e-03	2.1393e-02	2.3153e-01	1.1336e-17	4.9415e-01	
9.5409e-06	1.0732e+03	1.0000e+05	1.0119e-01	3.2140e-01	2.4114e-01	9.7830e-03	2.0254e-03	2.1591e-02	2.3136e-01	1.1275e-17	4.9410e-01	
9.6657e-06	1.0732e+03	1.0000e+05	1.0121e-01	3.2136e-01	2.4106e-01	9.8667e-03	2.0549e-03	2.1788e-02	2.3119e-01	1.1142e-17	4.9404e-01	
9.7906e-06	1.0732e+03	1.0000e+05	1.0122e-01	3.2132e-01	2.4097e-01	9.9499e-03	2.0844e-03	2.1984e-02	2.3102e-01	1.0862e-17	4.9398e-01	
9.9154e-06	1.0732e+03	1.0000e+05	1.0123e-01	3.2129e-01	2.4089e-01	1.0033e-02	2.1140e-03	2.2179e-02	2.3086e-01	1.0769e-17	4.9393e-01	
1.0040e-05	1.0732e+03	1.0000e+05	1.0124e-01	3.2125e-01	2.4081e-01	1.0115e-02	2.1437e-03	2.2373e-02	2.3069e-01	1.0719e-17	4.9387e-01	
1.0245e-05	1.0732e+03	1.0000e+05	1.0126e-01	3.2119e-01	2.4067e-01	1.0249e-02	2.1925e-03	2.2690e-02	2.3042e-01	1.0521e-17	4.9378e-01	
1.0451e-05	1.0732e+03	1.0000e+05	1.0128e-01	3.2113e-01	2.4053e-01	1.0381e-02	2.2414e-03	2.3003e-02	2.3015e-01	1.0325e-17	4.9369e-01	
1.0656e-05	1.0732e+03	1.0000e+05	1.0130e-01	3.2107e-01	2.4040e-01	1.0512e-02	2.2904e-03	2.3315e-02	2.2989e-01	1.0183e-17	4.9360e-01	
1.0861e-05	1.0732e+03	1.0000e+05	1.0132e-01	3.2102e-01	2.4026e-01	1.0642e-02	2.3394e-03	2.3623e-02	2.2962e-01	9.9605e-18	4.9351e-01	
1.1066e-05	1.0732e+03	1.0000e+05	1.0133e-01	3.2096e-01	2.4013e-01	1.0770e-02	2.3886e-03	2.3929e-02	2.2936e-01	9.7698e-18	4.9342e-01	
1.1457e-05	1.0732e+03	1.0000e+05	1.0137e-01	3.2085e-01	2.3988e-01	1.1011e-02	2.4824e-03	2.4505e-02	2.2887e-01	9.4575e-18	4.9325e-01	
1.1847e-05	1.0732e+03	1.0000e+05	1.0140e-01	3.2074e-01	2.3963e-01	1.1248e-02	2.5764e-03	2.5073e-02	2.2838e-01	9.1733e-18	4.9309e-01	
1.2237e-05	1.0732e+03	1.0000e+05	1.0144e-01	3.2064e-01	2.3939e-01	1.1481e-02	2.6708e-03	2.5632e-02	2.2791e-01	8.8798e-18	4.9292e-01	
1.2628e-05	1.0732e+03	1.0000e+05	1.0147e-01	3.2053e-01	2.3914e-01	1.1709e-02	2.7654e-03	2.6184e-02	2.2743e-01	8.6001e-18	4.9276e-01	
1.3018e-05	1.0732e+03	1.0000e+05	1.0150e-01	3.2043e-01	2.3890e-01	1.1934e-02	2.8603e-03	2.6728e-02	2.2697e-01	8.3449e-18	4.9260e-01	
1.3409e-05	1.0732e+03	1.0000e+05	1.0153e-01	3.2032e-01	2.3867e-01	1.2155e-02	2.9554e-03	2.7265e-02	2.2651e-01	8.1066e-18	4.9244e-01	
1.4138e-05	1.0732e+03	1.0000e+05	1.0159e-01	3.2013e-01	2.3823e-01	1.2558e-02	3.1337e-03	2.8249e-02	2.2567e-01	7.6896e-18	4.9215e-01	
1.4867e-05	1.0732e+03	1.0000e+05	1.0165e-01	3.1995e-01	2.3780e-01	1.2949e-02	3.3126e-03	2.9211e-02	2.2485e-01	7.3093e-18	4.9187e-01	
1.5596e-05	1.0732e+03	1.0000e+05	1.0171e-01	3.1977e-01	2.3738e-01	1.3330e-02	3.4923e-03	3.0152e-02	2.2405e-01	6.9646e-18	4.9159e-01	
1.6325e-05	1.0732e+03	1.0000e+05	1.0177e-01	3.1959e-01	2.3697e-01	1.3700e-02	3.6725e-03	3.1072e-02	2.2327e-01	6.6501e-18	4.9131e-01	
1.7507e-05	1.0732e+03	1.0000e+05	1.0186e-01	3.1930e-01	2.3632e-01	1.4280e-02	3.9660e-03	3.2526e-02	2.2204e-01	6.1881e-18	4.9088e-01	
1.8689e-05	1.0732e+03	1.0000e+05	1.0195e-01	3.1903e-01	2.3568e-01	1.4837e-02	4.2607e-03	3.3935e-02	2.2084e-01	5.7826e-18	4.9045e-01	
1.9872e-05	1.0732e+03	1.0000e+05	1.0203e-01	3.1876e-01	2.3505e-01	1.5373e-02	4.5565e-03	3.5302e-02	2.1968e-01	5.4260e-18	4.9004e-01	
2.1054e-05	1.0732e+03	1.0000e+05	1.0212e-01	3.1849e-01	2.3444e-01	1.5889e-02	4.8532e-03	3.6630e-02	2.1856e-01	5.1071e-18	4.8963e-01	
2.2237e-05	1.0732e+03	1.0000e+05	1.0220e-01	3.1823e-01	2.3385e-01	1.6386e-02	5.1507e-03	3.7923e-02	2.1746e-01	4.8158e-18	4.8923e-01	
2.3419e-05	1.0732e+03	1.0000e+05	1.0228e-01	3.1798e-01	2.3326e-01	1.6867e-02	5.4487e-03	3.9183e-02	2.1640e-01	4.5551e-18	4.8884e-01	
2.4601e-05	1.0732e+03	1.0000e+05	1.0236e-01	3.1773e-01	2.3269e-01	1.7332e-02	5.7473e-03	4.0412e-02	2.1536e-01	4.3253e-18	4.8846e-01	
2.5784e-05	1.0732e+03	1.0000e+05	1.0244e-01	3.1749e-01	2.3213e-01	1.7782e-02	6.0464e-03	4.1611e-02	2.1435e-01	4.1136e-18	4.8809e-01	
2.6966e-05	1.0732e+03	1.0000e+05	1.0252e-01	3.1725e-01	2.3158e-01	1.8219e-02	6.3458e-03	4.2784e-02	2.1336e-01	3.9126e-18	4.8772e-01	
2.8149e-05	1.0732e+03	1.0000e+05	1.0259e-01	3.1701e-01	2.3103e-01	1.8642e-02	6.6455e-03	4.3930e-02	2.1239e-01	3.7318e-18	4.8736e-01	
2.9331e-05	1.0732e+03	1.0000e+05	1.0267e-01	3.1678e-01	2.3050e-01	1.9053e-02	6.9454e-03	4.5052e-02	2.1145e-01	3.5745e-18	4.8700e-01	
3.0514e-05	1.0732e+03	1.0000e+05	1.0274e-01	3.1655e-01	2.2998e-01	1.9453e-02	7.2454e-03	4.6151e-02	2.1052e-01	3.4248e-18	4.8665e-01	
3.1696e-05	1.0732e+03	1.0000e+05	1.0282e-01	3.1633e-01	2.2946e-01	1.9841e-02	7.5455e-03	4.7228e-02	2.0962e-01	3.2754e-18	4.8631e-01	
3.2878e-05	1.0732e+03	1.0000e+05	1.0289e-01	3.1611e-01	2.2895e-01	2.0219e-02	7.8457e-03	4.8284e-02	2.0873e-01	3.1432e-18	4.8597e-01	
3.4061e-05	1.0732e+03	1.0000e+05	1.0296e-01	3.1589e-01	2.2845e-01	2.0587e-02	8.1458e-03	4.9321e-02	2.0786e-01	3.0340e-18	4.8563e-01	
3.5243e-05	1.0732e+03	1.0000e+05	1.0303e-01	3.1568e-01	2.2796e-01	2.0946e-02	8.4458e-03	5.0338e-02	2.0701e-01	2.9222e-18	4.8530e-01	
3.6426e-05	1.0732e+03	1.0000e+05	1.0310e-01	3.1547e-01	2.2747e-01	2.1296e-02	8.7458e-03	5.1337e-02	2.0617e-01	2.7991e-18	4.8498e-01	
3.8459e-05	1.0732e+03	1.0000e+05	1.0321e-01	3.1511e-01	2.2665e-01	2.1877e-02	9.2614e-03	5.3016e-02	2.0477e-01	2.6377e-18	4.8443e-01	
4.0493e-05	1.0732e+03	1.0000e+05	1.0333e-01	3.1476e-01	2.2584e-01	2.2435e-02	9.7765e-03	5.4647e-02	2.0341e-01	2.5066e-18	4.8389e-01	
4.2527e-05	1.0732e+03	1.0000e+05	1.0344e-01	3.1442e-01	2.2505e-01	2.2971e-02	1.0291e-02	5.6233e-02	2.0208e-01	2.2849e-18	4.8337e-01	
4.4561e-05	1.0732e+03	1.0000e+05	1.0355e-01	3.1408e-01	2.2428e-01	2.3487e-02	1.0804e-02	5.7778e-02	2.0079e-01	2.0983e-18	4.8285e-01	
4.6595e-05	1.0732e+03	1.0000e+05	1.0366e-01	3.1376e-01	2.2352e-01	2.3984e-02	1.1317e-02	5.9284e-02	1.9954e-01	2.2288e-18	4.8235e-01	
4.8629e-05	1.0732e+03	1.0000e+05	1.0377e-01	3.1343e-01	2.2278e-01	2.4463e-02	1.1828e-02	6.0754e-02	1.9832e-01	2.3156e-18	4.8185e-01	
5.0662e-05	1.0732e+03	1.0000e+05	1.0387e-01	3.1312e-01	2.2205e-01	2.4924e-02	1.2339e-02	6.2188e-02	1.9713e-01	1.8689e-18	4.8137e-01	
5.2696e-05	1.0732e+03	1.0000e+05	1.0397e-01	3.1281e-01	2.2134e-01	2.5371e-02	1.2848e-02	6.3589e-02	1.9597e-01	1.4372e-18	4.8089e-01	
5.4730e-05	1.0732e+03	1.0000e+05	1.0408e-01	3.1250e-01	2.2063e-01	2.5802e-02	1.3356e-02	6.4960e-02	1.9483e-01	2.2611e-18	4.8042e-01	
5.6764e-05	1.0732e+03	1.0000e+05	1.0418e-01	3.1220e-01	2.1994e-01	2.6219e-02	1.3863e-02	6.6301e-02	1.9372e-01	2.0787e-18	4.7996e-01	
5.8798e-05	1.0732e+03	1.0000e+05	1.0427e-01	3.1191e-01	2.1926e-01	2.6623e-02	1.4368e-02	6.7614e-02	1.9263e-01	9.0020e-19	4.7950e-01	
6.0278e-05	1.0732e+03	1.0000e+05	1.0435e-01	3.1169e-01	2.1877e-01	2.6909e-02	1.4735e-02	6.8552e-02	1.9186e-01	1.5060e-18	4.7918e-01	
6.1757e-05	1.0732e+03	1.0000e+05	1.0442e-01	3.1148e-01	2.1828e-01	2.7188e-02	1.5101e-02	6.9477e-02	1.9110e-01	1.5954e-18	4.7886e-01	
6.3237e-05	1.0732e+03	1.0000e+05	1.0449e-01	3.1128e-01	2.1780e-01	2.7461e-02	1.5466e-02	7.0389e-02	1.9034e-01	-1.2279e-18	4.7854e-01	
6.4717e-05	1.0732e+03	1.0000e+05	1.0455e-01	3.1107e-01	2.1733e-01	2.7728e-02	1.5831e-02	7.1287e-02	1.8960e-01	2.2770e-18	4.7822e-01	
6.6197e-05	1.0732e+03	1.0000e+05	1.0462e-01	3.1087e-01	2.1686e-01	2.7989e-02	1.6195e-02	7.2174e-02	1.8887e-01	2.6682e-18	4.7791e-01	
6.7677e-05	1.0732e+03	1.0000e+05	1.0469e-01	3.1067e-01	2.1640e-01	2.8245e-02	1.6558e-02	7.3048e-02	1.8815e-01	2.8458e-19	4.7760e-01	
6.9157e-05	1.0732e+03	1.0000e+05	1.0476e-01	3.1047e-01	2.1594e-01	2.8495e-02	1.6920e-02	7.3911e-02	1.8744e-01	1.0260e-18	4.7729e-01	
7.0637e-05	1.0732e+03	1.0000e+05	1.0482e-01	3.1027e-01	2.1548e-01	2.8740e-02	1.7281e-02	7.4762e-02	1.8674e-01	2.2752e-18	4.7699e-01	
7.2995e-05	1.0732e+03	1.0000e+05	1.0493e-01	3.0996e-01	2.1477e-01	2.9120e-02	1.7855e-02	7.6096e-02	1.8565e-01	1.2611e-18	4.7651e-01	
7.5352e-05	1.0732e+03	1.0000e+05	1.0503e-01	3.0965e-01	2.1406e-01	2.9488e-02	1.8427e-02	7.7403e-02	1.8458e-01	1.0238e-18	4.7604e-01	
7.7710e-05	1.0732e+03	1.0000e+05	1.0513e-01	3.0935e-01	2.1337e-01	2.9844e-02	1.8997e-02	7.8685e-02	1.8353e-01	-8.5487e-19	4.7558e-01	
8.0068e-05	1.0732e+03	1.0000e+05	1.0524e-01	3.0906e-01	2.1269e-01	3.0189e-02	1.9564e-02	7.9942e-02	1.8250e-01	-5.4682e-19	4.7512e-01	
8.2426e-05	1.0732e+03	1.0000e+05	1.0534e-01	3.0876e-01	2.1201e-01	3.0524e-02	2.0129e-02	8.1176e-02	1.8149e-01	1.4413e-18	4.7467e-01	
8.6880e-05	1.0732e+03	1.0000e+05	1.0552e-01	3.0822e-01	2.1076e-01	3.1128e-02	2.1191e-02	8.3447e-02	1.7963e-01	1.0375e-18	4.7384e-01	
9.1334e-05	1.0732e+03	1.0000e+05	1.0570e-01	3.0769e-01	2.0954e-01	3.1699e-02	2.2245e-02	8.5644e-02	1.7784e-01	6.5200e-19	4.7303e-01	
9.5789e-05	1.0732e+03	1.0000e+05	1.0588e-01	3.0718e-01	2.0835e-01	3.2240e-02	2.3291e-02	8.7772e-02	1.7611e-01	7.9758e-19	4.7223e-01	
1.0024e-04	1.0732e+03	1.0000e+05	1.0605e-01	3.0667e-01	2.0719e-01	3.2753e-02	2.4329e-02	8.9835e-02	1.7444e-01	9.2350e-19	4.7146e-01	
1.0470e-04	1.0732e+03	1.0000e+05	1.0622e-01	3.0618e-01	2.0605e-01	3.3239e-02	2.5360e-02	9.1837e-02	1.7281e-01	5.7831e-19	4.7070e-01	
1.0915e-04	1.0732e+03	1.0000e+05	1.0639e-01	3.0570e-01	2.0494e-01	3.3700e-02	2.6383e-02	9.3783e-02	1.7124e-01	5.7696e-19	4.6996e-01	
1.1361e-04	1.0732e+03	1.0000e+05	1.0656e-01	3.0522e-01	2.0385e-01	3.4139e-02	2.7397e-02	9.5675e-02	1.6971e-01	9.8337e-19	4.6923e-01	
1.2032e-04	1.0732e+03	1.0000e+05	1.0680e-01	3.0453e-01	2.0224e-01	3.4761e-02	2.8913e-02	9.8435e-02	1.6748e-01	7.1234e-19	4.6816e-01	
1.2704e-04	1.0732e+03	1.0000e+05	1.0704e-01	3.0385e-01	2.0069e-01	3.5339e-02	3.0411e-02	1.0109e-01	1.6535e-01	-1.0589e-19	4.6713e-01	
1.3376e-04	1.0732e+03	1.0000e+05	1.0727e-01	3.0320e-01	1.9917e-01	3.5877e-02	3.1892e-02	1.0365e-01	1.6330e-01	4.6784e-19	4.6612e-01	
1.4048e-04	1.0732e+03	1.0000e+05	1.0750e-01	3.0256e-01	1.9770e-01	3.6378e-02	3.3356e-02	1.0611e-01	1.6132e-01	1.4898e-18	4.6513e-01	
1.4720e-04	1.0732e+03	1.0000e+05	1.0772e-01	3.0193e-01	1.9626e-01	3.6846e-02	3.4803e-02	1.0850e-01	1.5942e-01	4.7962e-19	4.6418e-01	
1.5391e-04	1.0732e+03	1.0000e+05	1.0794e-01	3.0133e-01	1.9486e-01	3.7283e-02	3.6234e-02	1.1080e-01	1.5758e-01	-9.1370e-19	4.6324e-01	
1.6063e-04	1.0732e+03	1.0000e+05	1.0815e-01	3.0073e-01	1.9349e-01	3.7692e-02	3.7649e-02	1.1303e-01	1.5580e-01	7.3244e-19	4.6233e-01	
1.6735e-04	1.0732e+03	1.0000e+05	1.0836e-01	3.0016e-01	1.9216e-01	3.8074e-02	3.9047e-02	1.1520e-01	1.5409e-01	2.6897e-18	4.6144e-01	
1.7407e-04	1.0732e+03	1.0000e+05	1.0856e-01	2.9959e-01	1.9085e-01	3.8432e-02	4.0431e-02	1.1729e-01	1.5242e-01	-1.5254e-19	4.6057e-01	
1.8078e-04	1.0732e+03	1.0000e+05	1.0876e-01	2.9903e-01	1.8958e-01	3.8767e-02	4.1799e-02	1.1933e-01	1.5081e-01	-3.3313e-18	4.5972e-01	
1.8750e-04	1.0732e+03	1.0000e+05	1.0896e-01	2.9849e-01	1.8833e-01	3.9081e-02	4.3152e-02	1.2131e-01	1.4924e-01	1.4188e-18	4.5888e-01	
1.9835e-04	1.0732e+03	1.0000e+05	1.0927e-01	2.9764e-01	1.8636e-01	3.9547e-02	4.5305e-02	1.2440e-01	1.4681e-01	1.5287e-17	4.5757e-01	
2.0920e-04	1.0732e+03	1.0000e+05	1.0958e-01	2.9682e-01	1.8446e-01	3.9968e-02	4.7422e-02	1.2736e-01	1.4449e-01	3.5954e-18	4.5631e-01	
2.2004e-04	1.0732e+03	1.0000e+05	1.0987e-01	2.9602e-01	1.8261e-01	4.0347e-02	4.9502e-02	1.3020e-01	1.4227e-01	-2.0491e-17	4.5508e-01	
2.3089e-04	1.0732e+03	1.0000e+05	1.1016e-01	2.9524e-01	1.8082e-01	4.0688e-02	5.1548e-02	1.3292e-01	1.4013e-01	-1.8582e-18	4.5388e-01	
2.4174e-04	1.0732e+03	1.0000e+05	1.1044e-01	2.9448e-01	1.7908e-01	4.0996e-02	5.3560e-02	1.3555e-01	1.3809e-01	4.4993e-17	4.5272e-01	
2.5258e-04	1.0732e+03	1.0000e+05	1.1072e-01	2.9375e-01	1.7739e-01	4.1273e-02	5.5538e-02	1.3808e-01	1.3612e-01	1.6445e-17	4.5159e-01	
2.6343e-04	1.0732e+03	1.0000e+05	1.1099e-01	2.9304e-01	1.7574e-01	4.1522e-02	5.7485e-02	1.4053e-01	1.3422e-01	-8.3526e-17	4.5050e-01	
2.7428e-04	1.0732e+03	1.0000e+05	1.1125e-01	2.9234e-01	1.7414e-01	4.1745e-02	5.9401e-02	1.4289e-01	1.3240e-01	-5.4299e-17	4.4943e-01	
2.8512e-04	1.0732e+03	1.0000e+05	1.1151e-01	2.9166e-01	1.7258e-01	4.1944e-02	6.1288e-02	1.4518e-01	1.3063e-01	1.5521e-16	4.4838e-01	
2.9597e-04	1.0732e+03	1.0000e+05	1.1177e-01	2.9100e-01	1.7105e-01	4.2122e-02	6.3144e-02	1.4739e-01	1.2893e-01	1.6278e-16	4.4737e-01	
3.0682e-04	1.0732e+03	1.0000e+05	1.1201e-01	2.9036e-01	1.6956e-01	4.2281e-02	6.4972e-02	1.4953e-01	1.2728e-01	-2.6754e-16	4.4637e-01	
3.1766e-04	1.0732e+03	1.0000e+05	1.1226e-01	2.8972e-01	1.6810e-01	4.2421e-02	6.6773e-02	1.5161e-01	1.2568e-01	-4.4411e-16	4.4540e-01	
3.2851e-04	1.0732e+03	1.0000e+05	1.1250e-01	2.8911e-01	1.6668e-01	4.2544e-02	6.8547e-02	1.5363e-01	1.2414e-01	3.9482e-16	4.4445e-01	
3.3935e-04	1.0732e+03	1.0000e+05	1.1273e-01	2.8850e-01	1.6529e-01	4.2650e-02	7.0295e-02	1.5560e-01	1.2264e-01	1.1256e-15	4.4353e-01	
3.5020e-04	1.0732e+03	1.0000e+05	1.1296e-01	2.8791e-01	1.6393e-01	4.2743e-02	7.2018e-02	1.5750e-01	1.2119e-01	-1.1409e-16	4.4262e-01	
3.6105e-04	1.0732e+03	1.0000e+05	1.1319e-01	2.8734e-01	1.6260e-01	4.2822e-02	7.3715e-02	1.5936e-01	1.1977e-01	-8.1907e-16	4.4173e-01	
3.7189e-04	1.0732e+03	1.0000e+05	1.1341e-01	2.8677e-01	1.6129e-01	4.2889e-02	7.5389e-02	1.6117e-01	1.1840e-01	7.1920e-16	4.4086e-01	
3.8274e-04	1.0732e+03	1.0000e+05	1.1363e-01	2.8621e-01	1.6001e-01	4.2944e-02	7.7039e-02	1.6293e-01	1.1707e-01	2.2419e-15	4.4001e-01	
3.9359e-04	1.0732e+03	1.0000e+05	1.1385e-01	2.8567e-01	1.5876e-01	4.2988e-02	7.8667e-02	1.6464e-01	1.1577e-01	-2.8394e-16	4.3917e-01	
4.0443e-04	1.0732e+03	1.0000e+05	1.1406e-01	2.8514e-01	1.5753e-01	4.3022e-02	8.0272e-02	1.6632e-01	1.1451e-01	-4.9211e-15	4.3835e-01	
4.2020e-04	1.0732e+03	1.0000e+05	1.1437e-01	2.8438e-01	1.5578e-01	4.3055e-02	8.2567e-02	1.6868e-01	1.1273e-01	-1.3960e-16	4.3719e-01	
4.3597e-04	1.0732e+03	1.0000e+05	1.1466e-01	2.8364e-01	1.5408e-01	4.3070e-02	8.4818e-02	1.7096e-01	1.1101e-01	9.1769e-17	4.3606e-01	
4.5174e-04	1.0732e+03	1.0000e+05	1.1496e-01	2.8293e-01	1.5243e-01	4.3069e-02	8.7026e-02	1.7316e-01	1.0936e-01	-1.9249e-14	4.3495e-01	
4.6751e-04	1.0732e+03	1.0000e+05	1.1524e-01	2.8223e-01	1.5082e-01	4.3053e-02	8.9192e-02	1.7530e-01	1.0776e-01	7.6537e-15	4.3388e-01	
4.8328e-04	1.0732e+03	1.0000e+05	1.1552e-01	2.8154e-01	1.4924e-01	4.3023e-02	9.1319e-02	1.7737e-01	1.0622e-01	2.5543e-15	4.3283e-01	
4.9905e-04	1.0732e+03	1.0000e+05	1.1579e-01	2.8088e-01	1.4771e-01	4.2981e-02	9.3407e-02	1.7937e-01	1.0473e-01	-3.6614e-15	4.3181e-01	
5.2337e-04	1.0732e+03	1.0000e+05	1.1620e-01	2.7988e-01	1.4541e-01	4.2896e-02	9.6554e-02	1.8235e-01	1.0252e-01	2.8997e-15	4.3028e-01	
